api_player_id,card_id,player_name,season,club,league,current_pool,goals,assists,minutes,rt,verified_position,confidence,evidence
1917,160416,M. Balotelli,1718,Nice,L1,ST,18,1,2279,82,,,
24288,158726,M. Bayo,2122,Clermont Foot,L1,ST,14,5,2425,82,,,
667,159916,M. Depay,1819,Lyon,L1,ST,10,10,2737,82,,,
19511,183143,M. Diouf,2021,Hatayspor,TR,Winger,19,5,3198,82,,,
25464,151642,M. Ducksch,2324,Werder Bremen,BL,ST,12,9,2712,82,,,
2060,140415,M. El Haddadi,1718,Alaves,LL,ST,10,6,2456,82,,,
18746,130947,M. Gibbs-White,2425,Nottingham Forest,PL,CM,7,8,2822,82,,,
25329,153886,M. Kruse,1819,Werder Bremen,BL,ST,11,8,2837,82,,,
15911,131156,M. Kudus,2324,West Ham,PL,CM,8,6,2487,82,,,
909,133460,M. Rashford,1819,Manchester United,PL,ST,10,6,2343,82,,,
19170,130892,M. Rogers,2425,Aston Villa,PL,Winger,8,10,3129,82,,,
42315,187377,M. Taremi,2021,FC Porto,PRT,ST,17,10,2226,82,,,
32138,148677,Massimo Maccarone,1516,Empoli,SA,,13,5,2765,82,,,
276,159395,Neymar,1920,Paris Saint Germain,L1,Winger,13,6,1322,82,,,
2295,134347,O. Giroud,1617,Arsenal,PL,Winger,12,3,1195,82,,,
2295,145654,O. Giroud,2223,AC Milan,SA,ST,13,5,2148,82,,,
18970,131480,P. Groß,2324,Brighton,PL,CDM,4,10,3114,82,,,
18970,133878,P. Groß,1718,Brighton,PL,ST,7,8,2949,82,,,
329,146206,P. Zieliński,2021,Napoli,SA,CM,8,10,2546,82,,,
41111,165807,Paulinho,1920,SC Braga,PRT,ST,17,6,2315,82,,,
9084,184349,R. Bajić,1617,Konyaspor,TR,ST,17,3,2218,82,,,
2472,146355,R. De Paul,2021,Udinese,SA,Winger,9,9,3204,82,,,
2413,131154,Richarlison,2324,Tottenham,PL,ST,11,4,1510,82,,,
2413,132805,Richarlison,1920,Everton,PL,ST,13,3,3081,82,,,
302,131877,Roberto Firmino,2223,Liverpool,PL,ST,11,4,1212,82,,,
46666,139465,Roberto Torres,1920,Osasuna,LL,Winger,7,8,2722,82,,,
935,131820,Rodrigo,2223,Leeds,PL,ST,13,1,1943,82,,,
47471,139956,Roger,1819,Levante,LL,ST,13,,1894,82,,,
20674,181270,S. Banza,2425,Trabzonspor,TR,ST,19,4,2553,82,,,
19126,132607,S. Dallas,2021,Leeds,PL,CDM,8,2,3411,82,,,
7722,153081,S. Kalajdzic,2021,VfB Stuttgart,BL,ST,16,5,2140,82,,,
1856,145548,S. Milinković-Savić,2223,Lazio,SA,CM,9,8,3028,82,,,
1856,147729,S. Milinković-Savić,1718,Lazio,SA,CM,12,3,2850,82,,,
30515,140661,S. Zaza,1718,Valencia,LL,ST,13,1,2078,82,,,
934,140301,Santi Mina,1718,Valencia,LL,ST,12,2,1549,82,,,
283,133459,T. Alexander-Arnold,1819,Liverpool,PL,FB,1,12,2467,82,,,
2929,153400,T. Hazard,1920,Borussia Dortmund,BL,ST,7,13,2392,82,,,
26248,151485,V. Grifo,2425,SC Freiburg,BL,CM,8,11,2453,82,,,
36798,164009,V. Pavlidis,2425,Benfica,PRT,ST,19,7,2275,82,,,
36937,170397,V. van Crooij,2223,Sparta Rotterdam,ERE,Winger,14,12,3251,82,,,
22102,159904,W. Khazri,1819,Saint Etienne,L1,ST,13,6,2825,82,,,
3247,132357,W. Zaha,2122,Crystal Palace,PL,ST,14,1,2762,82,,,
2923,140950,Y. Carrasco,1617,Atletico Madrid,LL,Winger,10,4,2270,82,,,
25412,154962,Y. Mallı,1516,FSV Mainz 05,BL,,11,4,2796,82,,,
51070,146500,Z. Ibrahimović,2021,AC Milan,SA,Winger,15,2,1498,82,,,
