api_player_id,card_id,player_name,season,club,league,current_pool,goals,assists,minutes,rt,verified_position,confidence,evidence
18973,131664,S. March,2223,Brighton,PL,CM,7,7,2724,81,,,
25352,154948,Salomon Armand Magloire Kalou,1516,Hertha BSC,BL,,14,2,2535,81,,,
186,131062,Son Heung-Min,2425,Tottenham,PL,Winger,7,9,2116,81,,,
186,131876,Son Heung-Min,2223,Tottenham,PL,ST,10,6,2899,81,,,
1650,148266,Suso,1617,AC Milan,SA,Winger,7,9,2820,81,,,
2664,184291,Trézéguet,1718,Kasımpaşa,TR,CM,13,6,2649,81,,,
30559,148030,V. Birsa,1617,Chievo,SA,CDM,7,9,2786,81,,,
2780,146115,V. Osimhen,2122,Napoli,SA,ST,14,2,1989,81,,,
2294,133140,Willian,1920,Chelsea,PL,ST,9,7,2604,81,,,
47422,138066,Y. En-Nesyri,2324,Sevilla,LL,ST,16,2,2573,81,,,
20649,131262,Y. Wissa,2324,Brentford,PL,ST,12,3,2509,81,,,
18927,133265,A. Barnes,1819,Burnley,PL,Winger,12,2,2387,80,,,
30509,148360,A. Belotti,1516,Torino,SA,,12,4,2597,80,,,
202,148526,A. Candreva,1516,Lazio,SA,Winger,10,3,2204,80,,,
1629,148046,A. Conti,1617,Atalanta,SA,CDM,8,5,2668,80,,,
1274,147036,A. Cornelius,1920,Parma,SA,ST,12,3,1495,80,,,
53,138748,Á. Correa,2122,Atletico Madrid,LL,ST,12,5,1857,80,,,
266,160304,Á. Di María,1718,Paris Saint Germain,L1,ST,11,6,2122,80,,,
157997,130843,A. Diallo,2425,Manchester United,PL,ST,8,6,1901,80,,,
45017,175773,A. Dreyer,2324,Anderlecht,BPL,Winger,19,,2981,80,,,
85041,158444,A. Gouiri,2122,Nice,L1,ST,10,9,2765,80,,,
85041,158898,A. Gouiri,2021,Nice,L1,Winger,12,7,2753,80,,,
49891,182248,A. Nwakaeme,2122,Trabzonspor,TR,Winger,13,10,2176,80,,,
2522,145349,A. Sanabria,2223,Torino,SA,ST,12,4,2441,80,,,
11012,181104,A. Sowe,2425,Rizespor,TR,ST,19,2,2987,80,,,
392,140328,Adrián López,1718,Deportivo La Coruna,LL,UNK,9,6,2347,80,,,
378,166044,Alex Telles,1920,FC Porto,PRT,CB,11,8,2437,80,,,
2206,160117,B. Bourigeaud,1718,Rennes,L1,CM,10,7,3105,80,,,
36908,172333,B. Johnsen,1718,ADO Den Haag,ERE,Winger,19,1,2728,80,,,
129711,130749,B. Johnson,2425,Tottenham,PL,Winger,11,3,2178,80,,,
37272,172166,B. Kuwas,1819,Heracles,ERE,ST,10,10,2887,80,,,
636,132801,Bernardo Silva,1920,Manchester City,PL,CAM,6,7,2029,80,,,
47472,137986,Borja Mayoral,2324,Getafe,LL,ST,15,1,2164,80,,,
247,131073,C. Gakpo,2425,Liverpool,PL,Winger,10,4,1945,80,,,
67972,131463,C. Gallagher,2324,Chelsea,PL,CDM,5,7,3137,80,,,
19083,131402,C. Morris,2324,Luton,PL,ST,11,4,2866,80,,,
47464,140191,Campaña,1819,Levante,LL,CM,4,9,3213,80,,,
761,164296,Cristo González,2324,Arouca,PRT,Winger,15,9,2793,80,,,
18870,133217,D. Brooks,1819,Bournemouth,PL,Winger,7,5,2278,80,,,
18766,132869,D. Calvert-Lewin,1920,Everton,PL,ST,13,1,2630,80,,,
30487,148105,D. Falcinelli,1617,Crotone,SA,ST,13,3,3130,80,,,
2601,152309,D. Kamada,2223,Eintracht Frankfurt,BL,CDM,9,6,2270,80,,,
30435,131978,D. Kulusevski,2122,Tottenham,PL,ST,5,8,1267,80,,,
332,146568,D. Mertens,2021,Napoli,SA,ST,9,8,1464,80,,,
332,147015,D. Mertens,1920,Napoli,SA,ST,9,7,1687,80,,,
