api_player_id,card_id,player_name,season,club,league,current_pool,coarse_position,rt,goals,assists,minutes,dribbles_per90,verified_position,confidence,evidence
511,153623,L. Goretzka,1819,Bayern München,BL,CM,MID,78,8,4,2021,0.67,,,
511,151848,L. Goretzka,2324,Bayern München,BL,CDM,MID,76,6,7,2243,0.52,,,
511,153256,L. Goretzka,1920,Bayern München,BL,CDM,MID,74,6,5,1513,1.13,,,
515,154625,F. Ribéry,1617,Bayern München,BL,CDM,MID,78,5,11,1241,2.76,,,
515,153880,F. Ribéry,1819,Bayern München,BL,CDM,MID,74,6,3,1167,2.78,,,
502,152523,J. Kimmich,2122,Bayern München,BL,CM,MID,74,3,11,2478,0.76,,,
502,152884,J. Kimmich,2021,Bayern München,BL,CM,MID,73,4,10,2197,1.19,,,
502,152170,J. Kimmich,2223,Bayern München,BL,CDM,MID,72,5,6,2819,0.42,,,
502,153254,J. Kimmich,1920,Bayern München,BL,CDM,MID,72,4,7,2822,0.61,,,
502,151522,J. Kimmich,2425,Bayern München,BL,CDM,MID,70,3,7,2847,0.38,,,
507,154545,Thiago Alcântara,1617,Bayern München,BL,CM,MID,74,6,5,2291,2.36,,,
494131,150899,L. Karl,2526,Bayern München,BL,CM,MID,70,5,5,1282,1.54,,,
266,159482,Á. Di María,1920,Paris Saint Germain,L1,CDM,MID,86,8,14,2005,3.01,,,
128384,157854,Vitinha,2324,Paris Saint Germain,L1,CM,MID,73,7,4,2129,1.35,,,
335051,157285,João Neves,2425,Paris Saint Germain,L1,CM,MID,70,3,8,1857,0.78,,,
629,133095,K. De Bruyne,1920,Manchester City,PL,CAM,MID,91,13,20,2800,1.54,,,
629,131889,K. De Bruyne,2223,Manchester City,PL,CAM,MID,87,7,16,2425,1.19,,,
629,131067,K. De Bruyne,2425,Manchester City,PL,CM,MID,77,4,7,1715,0.63,,,
90493,135435,Yaya Touré,1314,Manchester City,PL,CM,MID,90,20,9,2927,NR,,,
44,131182,Rodri,2324,Manchester City,PL,CDM,MID,86,8,9,2938,1.29,,,
44,131581,Rodri,2223,Manchester City,PL,CDM,MID,71,2,6,2920,0.77,,,
634,134879,David Silva,1415,Manchester City,PL,CAM,MID,82,12,NR,2661,0.14,,,
631,130769,P. Foden,2425,Manchester City,PL,CM,MID,76,7,2,1786,0.71,,,
2291,130771,M. Kovačić,2425,Manchester City,PL,CDM,MID,75,6,2,2207,0.9,,,
2291,131986,M. Kovačić,2122,Chelsea,PL,CDM,MID,70,2,5,1555,2.2,,,
636,131584,Bernardo Silva,2223,Manchester City,PL,CM,MID,73,4,5,2222,1.13,,,
636,130770,Bernardo Silva,2425,Manchester City,PL,CM,MID,70,4,4,2671,0.91,,,
636,132394,Bernardo Silva,2021,Manchester City,PL,CM,MID,70,2,6,2071,1.78,,,
36902,130478,T. Reijnders,2526,Manchester City,PL,CM,MID,71,5,2,1640,1.04,,,
36902,144767,T. Reijnders,2425,AC Milan,SA,CDM,MID,83,10,4,3132,1.03,,,
640,133950,Fernandinho,1718,Manchester City,PL,CM,MID,71,5,3,2885,0.69,,,
1485,132427,Bruno Fernandes,2021,Manchester United,PL,CAM,MID,90,18,12,3109,0.67,,,
1485,131237,Bruno Fernandes,2324,Manchester United,PL,CAM,MID,85,10,8,3119,0.55,,,
1485,132020,Bruno Fernandes,2122,Manchester United,PL,CAM,MID,85,10,6,3119,0.75,,,
1485,131634,Bruno Fernandes,2223,Manchester United,PL,CAM,MID,84,8,8,3325,0.87,,,
1485,132831,Bruno Fernandes,1920,Manchester United,PL,CAM,MID,82,8,7,1193,1.13,,,
904,133538,P. Pogba,1819,Manchester United,PL,CM,MID,88,13,9,3011,1.79,,,
904,132318,P. Pogba,2122,Manchester United,PL,CM,MID,73,1,9,1353,2.59,,,
904,148715,P. Pogba,1516,Juventus,SA,CM,MID,85,8,12,3018,3.04,,,
903,131492,S. McTominay,2324,Manchester United,PL,CDM,MID,77,7,1,1919,0.38,,,
901,134393,Mata,1617,Manchester United,PL,CM,MID,75,6,3,1628,0.77,,,
901,133989,Mata,1718,Manchester United,PL,CM,MID,71,3,5,1930,0.79,,,
