api_player_id,card_id,player_name,season,club,league,current_pool,goals,assists,minutes,rt,verified_position,confidence,evidence
237,172769,G. Pereiro,1617,PSV Eindhoven,ERE,CAM,10,2,2166,73,,,
237,172384,G. Pereiro,1718,PSV Eindhoven,ERE,CAM,11,4,1730,75,,,
127769,132797,Gabriel Martinelli,1920,Arsenal,PL,CAM,3,NR,656,49,,,
127769,132385,Gabriel Martinelli,2021,Arsenal,PL,CAM,2,1,588,47,,,
127769,131962,Gabriel Martinelli,2122,Arsenal,PL,CAM,6,6,1863,75,,,
49950,184653,J. Fernándes,1617,Alanyaspor,TR,CAM,6,3,1186,64,,,
49950,184264,J. Fernándes,1718,Alanyaspor,TR,CAM,10,6,1969,75,,,
49950,183502,J. Fernándes,1920,Alanyaspor,TR,CAM,9,7,1871,73,,,
37161,171018,L. Sinisterra,2122,Feyenoord,ERE,CAM,12,7,2417,75,,,
307,133534,X. Shaqiri,1819,Liverpool,PL,CAM,6,3,1058,75,,,
607,183398,A. Bakasetas,1920,Alanyaspor,TR,CAM,10,4,2685,74,,,
607,182982,A. Bakasetas,2021,Trabzonspor,TR,CAM,7,2,1606,65,,,
2722,182505,A. El Kaabi,2122,Hatayspor,TR,CAM,15,1,2363,74,,,
2722,182084,A. El Kaabi,2223,Hatayspor,TR,CAM,8,3,1801,64,,,
2601,177837,D. Kamada,1819,St. Truiden,BPL,CAM,12,NR,1899,74,,,
2459,140977,D. Machís,1617,Leganes,LL,CAM,1,3,1046,48,,,
2459,147232,D. Machís,1819,Udinese,SA,CAM,0,1,457,27,,,
2459,139689,D. Machís,1920,Granada CF,LL,CAM,7,5,2126,74,,,
2459,139247,D. Machís,2021,Granada CF,LL,CAM,5,5,2028,65,,,
2459,138805,D. Machís,2122,Granada CF,LL,CAM,4,2,1379,56,,,
2459,138345,D. Machís,2223,Valladolid,LL,CAM,0,1,599,26,,,
41113,167049,Fábio Martins,1617,Chaves,PRT,CAM,6,2,2081,58,,,
41113,166655,Fábio Martins,1718,SC Braga,PRT,CAM,5,4,1113,62,,,
41113,165827,Fábio Martins,1920,Famalicao,PRT,CAM,12,5,2566,74,,,
41725,165196,Fábio Vieira,2122,FC Porto,PRT,CAM,6,14,1328,74,,,
1463,132426,J. Willock,2021,Newcastle,PL,CAM,8,NR,980,74,,,
1463,132034,J. Willock,2122,Newcastle,PL,CAM,2,NR,2047,48,,,
2489,165998,L. Díaz,1920,FC Porto,PRT,CAM,6,2,1772,57,,,
2489,165606,L. Díaz,2021,FC Porto,PRT,CAM,6,5,1635,62,,,
2489,165217,L. Díaz,2122,FC Porto,PRT,CAM,14,4,1507,74,,,
2763,147068,M. Pašalić,1819,Atalanta,SA,CAM,5,3,1615,74,,,
183799,138707,Nico Williams,2122,Athletic Club,LL,CAM,0,NR,1324,25,,,
183799,138264,Nico Williams,2223,Athletic Club,LL,CAM,6,4,2673,63,,,
183799,137842,Nico Williams,2324,Athletic Club,LL,CAM,5,11,2281,74,,,
183799,137418,Nico Williams,2425,Athletic Club,LL,CAM,5,5,1998,64,,,
1697,133059,Pablo Fornals,1920,West Ham,PL,CAM,2,5,2177,67,,,
1697,132648,Pablo Fornals,2021,West Ham,PL,CAM,5,4,2583,73,,,
1697,132247,Pablo Fornals,2122,West Ham,PL,CAM,6,3,2804,74,,,
41103,165841,Ricardo Horta,1920,SC Braga,PRT,CAM,12,5,2619,74,,,
44,131980,Rodri,2122,Manchester City,PL,CAM,7,2,2887,74,,,
20617,152843,S. Katompa Mvumpa,2021,VfB Stuttgart,BL,CAM,11,4,1930,74,,,
130256,165016,André Franco,2122,Estoril,PRT,CAM,11,4,2623,73,,,
2206,159661,B. Bourigeaud,1819,Rennes,L1,CAM,6,5,2434,73,,,
421,153371,B. Embolo,1920,Borussia Mönchengladbach,BL,CAM,8,5,1551,73,,,
519,154104,C. Tolisso,1718,Bayern München,BL,CAM,6,4,1527,73,,,
48648,159095,D. Ndoye,2021,Nice,L1,CAM,1,1,532,36,,,
48648,145210,D. Ndoye,2324,Bologna,SA,CAM,1,1,1776,37,,,
48648,144781,D. Ndoye,2425,Bologna,SA,CAM,8,4,2151,73,,,
31057,146483,H. Traorè,2021,Sassuolo,SA,CAM,5,2,1789,67,,,
31057,146043,H. Traorè,2122,Sassuolo,SA,CAM,7,2,1779,73,,,
2218,160722,I. Sarr,1617,Metz,L1,CAM,5,1,1941,53,,,
2218,160294,I. Sarr,1718,Rennes,L1,CAM,5,3,1866,59,,,
2218,159871,I. Sarr,1819,Rennes,L1,CAM,8,6,2795,73,,,
2218,132803,I. Sarr,1920,Watford,PL,CAM,5,4,2030,66,,,
2218,131996,I. Sarr,2122,Watford,PL,CAM,5,2,1864,62,,,
22003,159727,M. Cafaro,1819,Reims,L1,CAM,7,3,2101,73,,,
25307,153968,M. Richter,1718,FC Augsburg,BL,CAM,1,NR,598,36,,,
25307,153614,M. Richter,1819,FC Augsburg,BL,CAM,4,6,1431,73,,,
25307,153242,M. Richter,1920,FC Augsburg,BL,CAM,4,3,2288,64,,,
25307,152498,M. Richter,2122,Hertha BSC,BL,CAM,5,1,1710,63,,,
1914,160305,M. Sanson,1718,Marseille,L1,CAM,9,2,2173,73,,,
1914,159088,M. Sanson,2021,Marseille,L1,CAM,2,3,829,58,,,
50464,183395,M. Thiam,1920,Kasımpaşa,TR,CAM,11,4,1863,73,,,
50464,182960,M. Thiam,2021,Fenerbahçe,TR,CAM,6,2,1490,58,,,
37155,171056,O. Kökçü,2122,Feyenoord,ERE,CAM,7,9,2632,73,,,
47557,140019,Ó. Trejo,1819,Rayo Vallecano,LL,CAM,1,4,1773,61,,,
47557,138664,Ó. Trejo,2122,Rayo Vallecano,LL,CAM,3,9,2022,73,,,
50844,166935,Pedro Santos,1617,SC Braga,PRT,CAM,6,7,2025,73,,,
37160,171045,S. Berghuis,2122,Ajax,ERE,CAM,8,11,2401,73,,,
20649,159077,Y. Wissa,2021,Lorient,L1,CAM,10,4,2683,73,,,
2924,140721,A. Januzaj,1718,Real Sociedad,LL,CAM,3,5,1579,72,,,
41190,165938,Carlos Júnior,1920,Santa Clara,PRT,CAM,7,3,2455,60,,,
41190,165551,Carlos Júnior,2021,Santa Clara,PRT,CAM,14,3,2753,72,,,
19329,132875,D. James,1920,Manchester United,PL,CAM,3,6,2291,72,,,
35533,183156,E. Valencia,2021,Fenerbahçe,TR,CAM,12,4,2480,72,,,
30453,148095,J. Jankto,1617,Udinese,SA,CAM,5,4,1905,72,,,
40569,166948,João Amaral,1617,Vitoria Setubal,PRT,CAM,5,2,2281,63,,,
40569,166540,João Amaral,1718,Vitoria Setubal,PRT,CAM,9,2,2258,72,,,
40569,165710,João Amaral,1920,Pacos Ferreira,PRT,CAM,1,4,1106,53,,,
508,154511,K. Coman,1617,Bayern München,BL,CAM,2,1,914,43,,,
508,154147,K. Coman,1718,Bayern München,BL,CAM,3,3,1147,56,,,
508,153789,K. Coman,1819,Bayern München,BL,CAM,6,4,1387,69,,,
508,153410,K. Coman,1920,Bayern München,BL,CAM,4,3,1507,57,,,
508,153038,K. Coman,2021,Bayern München,BL,CAM,5,10,1766,71,,,
508,152663,K. Coman,2122,Bayern München,BL,CAM,6,2,1368,62,,,
508,152284,K. Coman,2223,Bayern München,BL,CAM,8,5,1416,72,,,
508,151929,K. Coman,2324,Bayern München,BL,CAM,3,3,1123,55,,,
508,151567,K. Coman,2425,Bayern München,BL,CAM,5,4,1283,65,,,
1911,148134,L. Ocampos,1617,AC Milan,SA,CAM,0,NR,534,22,,,
1911,159806,L. Ocampos,1819,Marseille,L1,CAM,4,7,2714,72,,,
644,153119,L. Sané,2021,Bayern München,BL,CAM,6,9,1802,72,,,
644,152743,L. Sané,2122,Bayern München,BL,CAM,7,7,1980,72,,,
50018,184343,Ö. Şahiner,1617,Konyaspor,TR,CAM,5,3,2410,65,,,
50018,183563,Ö. Şahiner,1819,Konyaspor,TR,CAM,8,4,2189,72,,,
22169,160675,W. Cyprien,1617,Nice,L1,CAM,8,3,2433,72,,,
2926,178538,Y. Tielemans,1617,Anderlecht,BPL,CAM,13,NR,3042,72,,,
21446,159739,A. Bobichon,1819,Nimes,L1,CAM,7,2,2154,71,,,
21446,159330,A. Bobichon,1920,Angers,L1,CAM,2,1,653,52,,,
47554,139936,Adri Embarba,1819,Rayo Vallecano,LL,CAM,5,6,2291,71,,,
47554,138552,Adri Embarba,2122,Espanyol,LL,CAM,0,2,1997,35,,,
30510,139262,Álex Berenguer,2021,Athletic Club,LL,CAM,8,4,2289,71,,,
30510,138809,Álex Berenguer,2122,Athletic Club,LL,CAM,3,6,2172,60,,,
