api_player_id,card_id,player_name,season,club,league,current_pool,goals,assists,minutes,rt,verified_position,confidence,evidence
1455,134041,A. Iwobi,1617,Arsenal,PL,CAM,3,3,1462,58,,,
1455,133254,A. Iwobi,1819,Arsenal,PL,CAM,3,6,1972,65,,,
1455,132864,A. Iwobi,1920,Everton,PL,CAM,1,NR,1604,33,,,
1455,132457,A. Iwobi,2021,Everton,PL,CAM,1,2,1541,43,,,
1455,132065,A. Iwobi,2122,Everton,PL,CAM,2,2,2037,48,,,
1455,131688,A. Iwobi,2223,Everton,PL,CAM,2,7,3382,60,,,
1455,131100,A. Iwobi,2324,Fulham,PL,CAM,5,NR,2202,55,,,
1455,130920,A. Iwobi,2425,Fulham,PL,CAM,9,6,2994,79,,,
1831,146590,A. Rebić,2021,AC Milan,SA,CAM,11,4,1783,79,,,
18906,133465,Ayoze Pérez,1819,Newcastle,PL,CAM,12,2,2929,79,,,
18906,133066,Ayoze Pérez,1920,Leicester,PL,CAM,8,4,2019,76,,,
18906,132250,Ayoze Pérez,2122,Leicester,PL,CAM,2,3,443,56,,,
18906,131860,Ayoze Pérez,2223,Leicester,PL,CAM,0,1,380,27,,,
18906,138471,Ayoze Pérez,2223,Real Betis,LL,CAM,3,1,1395,47,,,
18906,137699,Ayoze Pérez,2324,Real Betis,LL,CAM,9,1,2309,66,,,
47461,140699,E. Bardhi,1718,Levante,LL,CAM,9,1,1580,79,,,
47461,139404,E. Bardhi,2021,Levante,LL,CAM,1,2,1688,49,,,
203224,152698,F. Wirtz,2122,Bayer Leverkusen,BL,CAM,7,10,1864,79,,,
1646,147347,Lucas Paquetá,1819,AC Milan,SA,CAM,1,1,851,47,,,
1646,158654,Lucas Paquetá,2122,Lyon,L1,CAM,9,6,2711,79,,,
1646,130407,Lucas Paquetá,2526,West Ham,PL,CAM,4,1,1521,55,,,
1859,146085,Luis Alberto,2122,Lazio,SA,CAM,5,10,2362,79,,,
16,153546,M. Götze,1819,Borussia Dortmund,BL,CAM,7,7,1680,79,,,
22016,159781,R. Oudin,1819,Reims,L1,CAM,10,4,2627,79,,,
22016,158980,R. Oudin,2021,Bordeaux,L1,CAM,4,4,2431,65,,,
22016,158540,R. Oudin,2122,Bordeaux,L1,CAM,4,5,1742,69,,,
19361,132702,S. Benrahma,2021,West Ham,PL,CAM,1,6,1388,59,,,
19361,132289,S. Benrahma,2122,West Ham,PL,CAM,8,6,2184,79,,,
19361,131886,S. Benrahma,2223,West Ham,PL,CAM,6,3,2070,67,,,
19361,131485,S. Benrahma,2324,West Ham,PL,CAM,0,1,616,28,,,
19361,157475,S. Benrahma,2425,Lyon,L1,CAM,1,3,737,46,,,
1243,132880,T. Souček,1920,West Ham,PL,CAM,3,NR,1041,57,,,
1243,132489,T. Souček,2021,West Ham,PL,CAM,10,1,3420,79,,,
1243,132096,T. Souček,2122,West Ham,PL,CAM,5,1,3062,66,,,
49921,182836,A. Büyük,2021,Yeni Malatyaspor,TR,CAM,17,3,2900,78,,,
25467,153890,B. Raman,1819,Fortuna Düsseldorf,BL,CAM,10,4,1678,78,,,
547,172490,D. van de Beek,1718,Ajax,ERE,CAM,11,6,2856,77,,,
547,172127,D. van de Beek,1819,Ajax,ERE,CAM,9,10,2441,78,,,
547,108921,D. van de Beek,2526,Nottingham Forest,PL,CAM,2,2,2080,57,,,
36905,172820,G. Til,1617,AZ Alkmaar,ERE,CAM,2,NR,316,43,,,
36905,172451,G. Til,1718,AZ Alkmaar,ERE,CAM,9,3,2829,71,,,
36905,172082,G. Til,1819,AZ Alkmaar,ERE,CAM,12,4,2970,77,,,
36905,170986,G. Til,2122,Feyenoord,ERE,CAM,15,3,2590,77,,,
36905,169343,G. Til,2526,PSV Eindhoven,ERE,CAM,14,4,2247,78,,,
22235,160630,J. Bamba,1617,Angers,L1,CAM,3,2,834,52,,,
22235,160200,J. Bamba,1718,Saint Etienne,L1,CAM,7,8,2569,72,,,
22235,159754,J. Bamba,1819,Lille,L1,CAM,13,3,3011,78,,,
22235,159347,J. Bamba,1920,Lille,L1,CAM,1,4,1942,47,,,
22235,158940,J. Bamba,2021,Lille,L1,CAM,6,9,2993,71,,,
22235,158491,J. Bamba,2122,Lille,L1,CAM,1,3,2441,44,,,
22235,158086,J. Bamba,2223,Lille,L1,CAM,6,7,2789,68,,,
2913,160351,Kwon Chang-Hoon,1718,Dijon,L1,CAM,11,3,2143,78,,,
2913,159927,Kwon Chang-Hoon,1819,Dijon,L1,CAM,2,NR,935,47,,,
25297,154078,M. Gregoritsch,1718,FC Augsburg,BL,CAM,13,2,2535,78,,,
25297,153710,M. Gregoritsch,1819,FC Augsburg,BL,CAM,6,2,2493,61,,,
3246,160844,N. Pépé,1617,Angers,L1,CAM,3,1,1309,46,,,
3246,160419,N. Pépé,1718,Lille,L1,CAM,13,4,2844,78,,,
3246,133178,N. Pépé,1920,Arsenal,PL,CAM,5,6,2023,71,,,
3246,132770,N. Pépé,2021,Arsenal,PL,CAM,10,1,1612,77,,,
3246,132356,N. Pépé,2122,Arsenal,PL,CAM,1,2,697,45,,,
3246,181806,N. Pépé,2324,Trabzonspor,TR,CAM,5,2,1128,56,,,
510,154193,S. Gnabry,1718,1899 Hoffenheim,BL,CAM,10,5,1519,78,,,
510,153096,S. Gnabry,2021,Bayern München,BL,CAM,10,2,1652,70,,,
26248,154334,V. Grifo,1617,SC Freiburg,BL,CAM,6,8,2494,78,,,
778,147474,B. Cristante,1718,Atalanta,SA,CAM,9,2,2835,77,,,
744,140241,Brahim Díaz,1819,Real Madrid,LL,CAM,1,1,381,48,,,
744,146544,Brahim Díaz,2021,AC Milan,SA,CAM,4,3,1242,66,,,
744,146110,Brahim Díaz,2122,AC Milan,SA,CAM,3,3,1876,63,,,
744,138045,Brahim Díaz,2324,Real Madrid,LL,CAM,8,6,1582,77,,,
46884,140734,Carlos Carmona Bonet,1617,Sporting Gijon,LL,CAM,8,2,1865,77,,,
8965,177410,F. Selemani,1920,Kortrijk,BPL,CAM,1,NR,353,27,,,
8965,177032,F. Selemani,2021,Kortrijk,BPL,CAM,8,7,2163,69,,,
8965,176613,F. Selemani,2122,Kortrijk,BPL,CAM,13,5,2516,77,,,
8965,176231,F. Selemani,2223,Kortrijk,BPL,CAM,8,4,2058,65,,,
30543,145912,G. Raspadori,2122,Sassuolo,SA,CAM,10,5,2754,77,,,
118,167029,Gelson Martins,1617,Sporting CP,PRT,CAM,6,9,2771,75,,,
118,166620,Gelson Martins,1718,Sporting CP,PRT,CAM,8,8,2687,77,,,
118,159700,Gelson Martins,1819,Monaco,L1,CAM,4,2,1393,64,,,
118,159282,Gelson Martins,1920,Monaco,L1,CAM,4,1,1682,60,,,
118,158854,Gelson Martins,2021,Monaco,L1,CAM,3,2,1562,59,,,
49857,184340,İ. Kahveci,1617,Başakşehir,TR,CAM,1,2,969,40,,,
49857,183961,İ. Kahveci,1718,Başakşehir,TR,CAM,1,1,1170,34,,,
49857,183584,İ. Kahveci,1819,Başakşehir,TR,CAM,4,5,2454,57,,,
49857,183217,İ. Kahveci,1920,Başakşehir,TR,CAM,3,5,2244,54,,,
49857,182737,İ. Kahveci,2021,Fenerbahçe,TR,CAM,NR,2,669,NR,,,
49857,182311,İ. Kahveci,2122,Fenerbahçe,TR,CAM,4,6,1641,60,,,
49857,181927,İ. Kahveci,2223,Fenerbahçe,TR,CAM,4,2,1519,51,,,
49857,181517,İ. Kahveci,2324,Fenerbahçe,TR,CAM,12,7,2028,77,,,
49857,181153,İ. Kahveci,2425,Fenerbahçe,TR,CAM,2,3,934,48,,,
900,134054,J. Lingard,1617,Manchester United,PL,CAM,1,2,1367,52,,,
900,132502,J. Lingard,2021,West Ham,PL,CAM,9,NR,1426,77,,,
37156,172351,J. Toornstra,1718,Feyenoord,ERE,CAM,8,10,2296,77,,,
983,154168,L. Bailey,1718,Bayer Leverkusen,BL,CAM,9,6,2221,77,,,
983,153823,L. Bailey,1819,Bayer Leverkusen,BL,CAM,5,1,1919,56,,,
983,153442,L. Bailey,1920,Bayer Leverkusen,BL,CAM,5,3,1093,63,,,
178,160715,Lucas Moura,1617,Paris Saint Germain,L1,CAM,12,5,2434,77,,,
897,132935,M. Greenwood,1920,Manchester United,PL,CAM,10,1,1310,77,,,
897,132534,M. Greenwood,2021,Manchester United,PL,CAM,7,2,1825,69,,,
897,132142,M. Greenwood,2122,Manchester United,PL,CAM,5,1,1281,61,,,
50180,184202,S. Gürler,1718,Ankaraspor,TR,CAM,12,5,2431,77,,,
50180,183024,S. Gürler,2021,Antalyaspor,TR,CAM,NR,NR,355,NR,,,
36927,171391,Z. Flemming,2021,Fortuna Sittard,ERE,CAM,12,7,2952,77,,,
18805,134116,A. Doucouré,1617,Watford,PL,CAM,1,NR,1358,38,,,
18805,133736,A. Doucouré,1718,Watford,PL,CAM,7,3,3325,76,,,
18805,132981,A. Doucouré,1920,Watford,PL,CAM,4,2,3166,64,,,
2849,167554,Bryan Jafet Ruiz González,1516,Sporting CP,PRT,CAM,8,12,2692,76,,,
2849,167172,Bryan Jafet Ruiz González,1617,Sporting CP,PRT,CAM,2,5,2087,52,,,
2849,166791,Bryan Jafet Ruiz González,1718,Sporting CP,PRT,CAM,2,1,1015,41,,,
105581,177282,D. Hotić,1920,Cercle Brugge,BPL,CAM,1,NR,512,34,,,
105581,176451,D. Hotić,2122,Cercle Brugge,BPL,CAM,7,10,2363,76,,,
47500,145941,D. Verde,2122,Spezia,SA,CAM,8,6,1958,76,,,
19428,132499,J. Bowen,2021,West Ham,PL,CAM,8,5,2578,76,,,
1321,158578,L. Majer,2122,Rennes,L1,CAM,6,8,1840,76,,,
30437,146417,M. Barrow,2021,Bologna,SA,CAM,8,8,2933,76,,,
162037,170212,M. Tillman,2324,PSV Eindhoven,ERE,CAM,9,10,1589,76,,,
26,153940,M. Wolf,1718,Eintracht Frankfurt,BL,CAM,5,8,2368,76,,,
26,153580,M. Wolf,1819,Borussia Dortmund,BL,CAM,1,NR,828,37,,,
26,153197,M. Wolf,1920,Hertha BSC,BL,CAM,1,NR,1410,36,,,
47447,141144,P. Sisto,1617,Celta Vigo,LL,CAM,3,3,1664,56,,,
47447,140714,P. Sisto,1718,Celta Vigo,LL,CAM,5,9,2534,76,,,
47447,140266,P. Sisto,1819,Celta Vigo,LL,CAM,2,1,844,47,,,
47447,181690,P. Sisto,2324,Alanyaspor,TR,CAM,1,0,686,27,,,
37182,172518,S. van de Streek,1718,Utrecht,ERE,CAM,10,6,2770,76,,,
53,140932,Á. Correa,1617,Atletico Madrid,LL,CAM,4,8,1213,73,,,
53,140473,Á. Correa,1718,Atletico Madrid,LL,CAM,8,4,2264,75,,,
53,140053,Á. Correa,1819,Atletico Madrid,LL,CAM,3,2,1918,54,,,
194880,182731,A. Ndao,2021,Fatih Karagümrük,TR,CAM,11,9,3097,75,,,
1096,152296,D. Szoboszlai,2223,RB Leipzig,BL,CAM,6,8,2451,75,,,
