api_player_id,card_id,player_name,season,club,league,current_pool,goals,assists,minutes,rt,verified_position,confidence,evidence
114472,186765,Alexsandro de Souza,1011,Fenerbahçe,TR,CAM,28,16,2728,91,,,
152982,131220,C. Palmer,2324,Chelsea,PL,CAM,22,11,2618,91,,,
152982,130812,C. Palmer,2425,Chelsea,PL,CAM,15,8,3199,88,,,
152982,130497,C. Palmer,2526,Chelsea,PL,CAM,10,1,1978,80,,,
629,133902,K. De Bruyne,1718,Manchester City,PL,CAM,8,16,3085,88,,,
629,133095,K. De Bruyne,1920,Manchester City,PL,CAM,13,20,2800,91,,,
629,131889,K. De Bruyne,2223,Manchester City,PL,CAM,7,16,2425,87,,,
629,131490,K. De Bruyne,2324,Manchester City,PL,CAM,4,10,1235,80,,,
1485,166778,Bruno Fernandes,1718,Sporting CP,PRT,CAM,11,8,2806,80,,,
1485,166382,Bruno Fernandes,1819,Sporting CP,PRT,CAM,20,13,2942,89,,,
1485,132831,Bruno Fernandes,1920,Manchester United,PL,CAM,8,7,1193,82,,,
1485,132427,Bruno Fernandes,2021,Manchester United,PL,CAM,18,12,3109,90,,,
1485,132020,Bruno Fernandes,2122,Manchester United,PL,CAM,10,6,3119,85,,,
1485,131634,Bruno Fernandes,2223,Manchester United,PL,CAM,8,8,3325,84,,,
1485,131237,Bruno Fernandes,2324,Manchester United,PL,CAM,10,8,3119,85,,,
554,172141,D. Tadić,1819,Ajax,ERE,CAM,28,13,2819,90,,,
554,171063,D. Tadić,2122,Ajax,ERE,CAM,13,19,2941,85,,,
172,134381,D. Alli,1617,Tottenham,PL,CAM,18,7,3045,89,,,
172,133972,D. Alli,1718,Tottenham,PL,CAM,9,10,2972,86,,,
172,133173,D. Alli,1920,Tottenham,PL,CAM,8,4,1853,80,,,
9970,163158,Nenê,1011,Paris Saint Germain,L1,CAM,14,9,3089,85,,,
9970,162793,Nenê,1112,Paris Saint Germain,L1,CAM,21,11,3033,89,,,
2056,140204,Pablo Sarabia,1819,Sevilla,LL,CAM,12,13,2728,89,,,
