card_id,rt
108793,60
108902,30
108918,74
108971,61
109031,59
109060,43
130260,75
130261,72
130262,59
130263,55
130264,74
130265,65
130266,80
130267,80
130268,67
130269,66
130270,46
130271,47
130272,53
130273,81
130274,71
130275,62
130276,67
130277,69
130278,55
130279,56
130280,77
130281,80
130282,64
130283,55
130284,75
130285,59
130286,68
130287,63
130288,80
130289,50
130290,57
130291,67
130292,69
130293,69
130294,73
130295,82
130296,55
130297,74
130298,71
130299,59
130300,86
130301,38
130302,59
130303,27
130304,65
130305,69
130306,60
130307,57
130309,65
130310,83
130311,69
130312,72
130313,64
130314,57
130315,50
130316,57
130317,68
130318,66
130319,32
130320,56
130321,67
130322,70
130323,66
130324,60
130325,55
130326,67
130327,61
130328,80
130329,62
130330,63
130331,72
130332,55
130333,70
130334,58
130335,75
130336,69
130337,69
130338,67
130339,46
130340,66
130341,66
130342,63
130343,70
130344,55
130345,75
130346,72
130347,64
130348,63
130349,67
130350,72
130351,67
130352,14
130353,52
130354,52
130355,84
130356,67
130357,37
130358,51
130359,68
130360,62
130361,60
130362,75
130363,66
130364,86
130365,46
130366,55
130367,69
130368,52
130369,64
130370,71
130371,72
130372,51
130373,67
130374,75
130375,60
130376,66
130377,57
130378,55
130379,66
130380,60
130381,61
130382,57
130383,72
130384,79
130385,87
130386,69
130387,66
130388,67
130389,63
130390,74
130391,66
130392,62
130393,61
130394,63
130395,75
130396,33
130397,56
130398,59
130399,46
130400,39
130401,62
130402,59
130403,60
130404,64
130405,68
130406,66
130407,58
130408,61
130409,67
130410,62
130411,57
130412,61
130413,85
130414,19
130415,61
130416,64
130417,64
130418,68
130419,81
130420,57
130421,46
130422,59
130423,63
130424,71
130425,75
130426,73
130427,65
130428,39
130429,70
130430,65
130431,40
130432,59
130433,61
130434,38
130435,57
130436,32
130437,63
130438,51
130439,75
130440,59
130441,67
130442,74
130443,47
130444,58
130445,53
130446,48
130447,65
130448,60
130449,72
130450,59
130451,31
130452,68
130453,24
130454,67
130455,36
130456,37
130457,34
130458,57
130459,51
130460,37
130461,46
130462,59
130463,67
130464,66
130465,64
130466,69
130467,38
130468,62
130469,45
130470,51
130471,58
130472,48
130473,61
130474,92
130475,72
130476,51
130477,66
130478,71
130479,69
130480,59
130481,81
130482,68
130483,28
130484,31
130485,53
130486,78
130487,68
130488,77
130489,85
130490,86
130491,75
130492,71
130493,62
130494,68
130495,65
130496,71
130497,75
130498,68
130499,32
130500,28
130501,44
130502,68
130503,67
130504,57
130505,54
130506,68
130507,61
130508,63
130509,59
130510,30
130511,75
130512,66
130513,75
130514,66
130515,66
130516,45
130517,30
130518,65
