card_id,rt
131448,64
131449,55
131450,65
131451,58
131452,60
131453,null
131454,85
131455,56
131456,54
131457,74
131458,69
131459,61
131460,null
131461,84
131462,52
131463,78
131464,null
131465,70
131466,66
131467,63
131468,null
131469,56
131470,57
131471,63
131472,62
131473,57
131474,56
131475,89
131476,54
131477,78
131478,53
131479,64
131480,84
131481,61
131482,60
131483,25
131484,null
131485,30
131486,57
131487,null
131488,55
131489,76
131490,79
131491,29
131492,78
131493,62
131494,69
131495,77
131496,75
131497,67
131498,57
131499,54
131500,null
131501,71
131502,null
131503,68
131504,null
131505,null
131506,null
131507,71
131508,58
131509,null
131510,67
131511,51
131512,null
131513,42
131514,null
131515,null
131516,49
131517,56
131518,null
131519,63
131520,59
131521,56
131522,64
131523,40
131524,74
131525,70
131526,61
131527,75
131528,83
131529,72
131530,61
131531,66
131532,62
131533,88
131534,53
131535,59
131536,29
131537,51
131538,75
131539,66
131540,73
131541,66
131542,60
131543,83
131544,62
131545,67
131546,88
131547,62
131548,72
131549,79
131550,53
131551,87
131552,33
131553,50
131554,65
131555,91
131556,58
131557,74
131558,47
131559,74
131560,85
131561,60
131562,72
131563,55
131564,61
131565,72
131566,62
131567,69
131568,null
131569,66
131570,56
131571,70
131572,62
131573,68
131574,66
131575,68
131576,64
131577,75
131578,62
131579,24
131580,62
131581,71
131582,null
131583,84
131584,73
131585,95
131586,54
131587,65
131588,63
131589,57
131590,59
131591,62
131592,null
131593,null
131594,null
131595,56
131596,60
131597,55
131598,52
131599,57
131600,67
131601,60
131602,58
131603,61
131604,39
131605,68
131606,null
131607,72
131608,52
131609,54
131610,29
131611,61
131612,46
131613,55
131614,82
131615,24
131616,63
131617,75
131618,60
131619,67
131620,63
131621,58
131622,50
131623,72
131624,75
131625,64
131626,58
131627,68
131628,71
131629,73
131630,73
131631,65
131632,64
131633,39
131634,80
131635,69
131636,null
131637,61
131638,null
131639,null
131640,62
131641,75
131642,83
131643,67
131644,69
131645,71
131646,65
131647,72
131648,82
131649,null
131650,64
131651,63
131652,80
131653,null
131654,74
131655,61
131656,33
131657,60
131658,62
131659,58
131660,67
131661,66
131662,59
131663,61
131664,79
131665,59
131666,67
131667,null
131668,null
131669,67
131670,76
131671,71
131672,73
131673,61
131674,75
131675,null
131676,58
131677,53
131678,66
131679,62
131680,60
131681,64
131682,69
131683,57
131684,86
131685,66
131686,57
131687,59
131688,68
131689,28
131690,43
131691,42
131692,57
131693,48
131694,44
131695,74
131696,57
131697,55
131698,70
131699,57
131700,75
131701,54
131702,69
131703,54
131704,53
131705,28
131706,53
131707,57
131708,60
131709,67
131710,67
131711,60
131712,null
131713,77
131714,29
131715,45
131716,49
131717,60
131718,30
131719,22
131720,57
131721,34
131722,75
131723,76
131724,27
131725,59
131726,79
131727,35
131728,53
131729,55
131730,61
131731,71
131732,75
131733,67
131734,80
131735,88
131736,33
131737,61
131738,65
131739,null
131740,71
131741,65
131742,62
131743,59
131744,32
131745,null
131746,60
131747,null
131748,61
131749,56
131750,50
131751,57
131752,60
131753,null
131754,48
131755,56
131756,31
131757,51
131758,null
131759,63
131760,68
131761,57
131762,67
131763,33
131764,56
131765,62
131766,57
131767,65
131768,60
131769,70
131770,59
131771,48
131772,52
131773,78
131774,61
131775,null
131776,67
131777,62
131778,14
131779,60
131780,67
131781,51
131782,66
131783,60
131784,71
131785,56
131786,58
131787,58
131788,58
131789,56
131790,55
131791,35
131792,61
131793,48
131794,39
131795,67
131796,75
131797,59
131798,43
131799,56
131800,51
131801,66
131802,64
131803,65
131804,62
131805,68
131806,52
131807,46
131808,58
131809,69
131810,64
131811,63
131812,67
131813,50
131814,71
131815,69
131816,36
131817,60
131818,55
131819,61
131820,81
131821,56
131822,48
131823,47
131824,44
131825,59
131826,72
131827,63
131828,54
131829,50
131830,55
131831,66
131832,76
131833,57
131834,63
131835,56
131836,67
131837,57
131838,52
131839,67
131840,58
131841,55
131842,76
131843,65
131844,null
131845,64
131846,null
131847,87
131848,37
131849,67
131850,59
131851,63
131852,70
131853,63
131854,60
131855,63
131856,63
131857,80
131858,65
131859,75
131860,30
131861,65
131862,69
131863,60
131864,44
131865,92
131866,54
131867,68
131868,64
131869,80
131870,30
131871,87
131872,61
131873,61
131874,59
131875,null
131876,83
131877,81
131878,80
131879,55
131880,25
131881,59
131882,66
131883,81
131884,null
131885,28
131886,68
131887,88
131888,45
131889,87
131890,62
131891,65
131892,57
131893,69
131894,44
131895,74
131896,65
131897,52
131898,30
131899,64
131900,44
131901,58
131902,62
131903,65
131904,46
131905,58
131906,33
131907,62
131908,67
131909,68
131910,68
131911,30
131912,67
131913,56
131914,63
131915,53
131916,69
131917,59
131918,72
131919,47
131920,56
131921,65
131922,null
131923,null
131924,null
131925,77
131926,66
131927,null
131928,null
131929,61
131930,null
131931,null
131932,50
131933,68
131934,34
131935,null
131936,33
131937,null
131938,66
131939,null
131940,null
131941,70
131942,56
131943,48
131944,59
131945,null
131946,63
131947,67
131948,66
131949,83
131950,73
131951,30
131952,85
131953,69
131954,25
131955,53
131956,69
131957,46
131958,69
131959,71
131960,65
131961,74
131962,76
131963,62
131964,75
131965,59
131966,83
131967,66
131968,47
131969,92
131970,49
131971,65
131972,66
131973,68
131974,87
131975,25
131976,64
131977,42
131978,78
131979,70
131980,79
131981,71
131982,54
131983,78
131984,80
131985,71
131986,71
131987,78
131988,63
131989,56
131990,33
131991,67
131992,60
131993,70
131994,61
131995,37
131996,66
131997,75
131998,56
131999,69
132000,54
132001,46
132002,75
132003,85
132004,67
132005,56
132006,68
132007,70
132008,58
132009,55
132010,61
132011,64
132012,70
132013,64
132014,35
132015,55
132016,46
132017,61
132018,61
132019,57
132020,83
132021,64
132022,65
132023,65
132024,59
132025,75
132026,65
132027,61
132028,86
132029,75
132030,65
132031,68
132032,60
132033,69
132034,43
132035,66
132036,62
132037,82
132038,58
132039,54
132040,46
132041,65
132042,64
132043,75
132044,67
132045,61
132046,39
132047,54
132048,58
132049,47
132050,79
132051,25
132052,60
132053,67
132054,60
132055,75
132056,55
132057,54
132058,67
132059,62
132060,71
132061,75
132062,58
132063,75
132064,64
132065,52
132066,66
132067,31
132068,60
132069,42
132070,41
132071,71
132072,67
132073,65
132074,58
132075,60
132076,64
132077,75
132078,69
132079,65
132080,57
132081,42
132082,40
132083,29
132084,64
132085,71
132086,39
132087,44
132088,56
132089,66
132090,59
132091,56
132092,60
132093,63
132094,21
132095,72
132096,69
132097,75
132098,83
132099,67
132100,75
132101,66
132102,70
132103,32
132104,50
132105,87
132106,58
132107,27
132108,68
132109,53
132110,61
132111,54
132112,57
132113,59
132114,19
132115,60
132116,75
132117,49
132118,66
132119,23
132120,71
132121,60
132122,58
132123,19
132124,71
132125,55
132126,58
132127,61
132128,48
132129,30
132130,68
132131,37
132132,47
132133,53
132134,56
132135,63
132136,69
132137,34
132138,60
132139,67
132140,66
132141,58
132142,65
132143,67
132144,65
132145,51
132146,50
132147,64
132148,62
132149,63
132150,34
132151,67
132152,69
132153,53
132154,37
132155,59
132156,46
132157,51
132158,54
132159,64
132160,50
132161,61
132162,51
132163,25
132164,63
132165,67
132166,63
132167,61
132168,59
132169,56
132170,48
132171,19
132172,59
132173,60
132174,65
132175,41
132176,47
132177,38
132178,48
132179,61
132180,51
132181,24
132182,59
132183,68
132184,58
132185,55
132186,69
132187,60
132188,65
132189,69
132190,64
132191,56
132192,75
132193,64
132194,50
132195,60
132196,61
132197,46
132198,60
132199,62
132200,45
132201,55
132202,70
132203,71
132204,62
132205,63
132206,65
132207,63
132208,61
132209,75
132210,62
132211,63
132212,49
132213,62
132214,65
132215,53
132216,64
132217,85
132218,43
132219,75
132220,55
132221,62
132222,57
132223,86
132224,31
132225,82
132226,66
132227,75
132228,68
132229,62
132230,52
132231,38
132232,61
132233,53
132234,47
132235,66
132236,37
132237,43
132238,61
132239,51
132240,79
132241,60
132242,84
132243,67
132244,63
132245,50
132246,67
132247,69
132248,60
132249,66
132250,58
132251,50
132252,67
132253,59
132254,54
132255,62
132256,69
132257,59
132258,61
132259,57
132260,60
132261,71
132262,60
132263,30
132264,75
132265,88
132266,91
132267,65
132268,66
132269,35
132270,60
132271,69
132272,53
132273,24
132274,46
132275,51
132276,67
132277,16
132278,56
132279,71
132280,85
132281,81
132282,68
132283,51
132284,59
132285,43
132286,75
132287,65
132288,50
132289,81
132290,80
132291,48
132292,66
132293,88
132294,41
132295,63
132296,38
132297,75
132298,57
132299,65
132300,85
132301,71
132302,69
132303,34
132304,61
132305,75
132306,67
132307,46
132308,56
132309,60
132310,51
132311,59
132312,69
132313,69
132314,61
132315,49
132316,74
132317,87
132318,74
132319,60
132320,80
132321,62
132322,65
132323,49
132324,66
132325,61
132326,44
132327,65
132328,62
