card_id,api_player_id,player_name,season,league_code,season_year,from_pool,to_pool,rt_before,confidence
172370,543,"Z. Labyad",1718,ERE,2017,ST,CAM,82,medium
146133,30803,"A. Barák",2122,SA,2021,Winger,CAM,81,medium
175834,129126,"A. Bertaccini",2324,BPL,2023,ST,ST,81,medium
148063,202,"A. Candreva",1617,SA,2016,Winger,Winger,81,high
158761,21591,"A. Delort",2122,L1,2021,Winger,ST,81,high
172408,37930,"A. El Khayati",1718,ERE,2017,CM,CAM,81,high
130692,153430,"A. Elanga",2425,PL,2024,Winger,Winger,81,high
147860,2002,"A. Ljajić",1718,SA,2017,CM,CAM,81,low
131549,6716,"A. Mac Allister",2223,PL,2022,CM,CM,81,medium
134476,908,"A. Martial",1516,PL,2015,ST,Winger,81,low
130761,19281,"A. Semenyo",2425,PL,2024,Winger,Winger,81,high
131244,20589,"B. Mbeumo",2324,PL,2023,Winger,Winger,81,medium
131642,20589,"B. Mbeumo",2223,PL,2022,Winger,Winger,81,high
130697,1460,"B. Saka",2425,PL,2024,Winger,Winger,81,high
151580,115589,"B. Šeško",2425,BL,2024,ST,ST,81,high
138401,47348,"Borja Iglesias",2223,LL,2022,ST,ST,81,high
140007,47440,"Brais Méndez",1819,LL,2018,CM,CAM,81,low
141378,3033,"C. Bakambu",1516,LL,2015,,ST,81,high
176634,147859,"C. De Ketelaere",2122,BPL,2021,ST,ST,81,low
187105,147859,"C. De Ketelaere",2324,SA,2023,ST,CAM,81,medium
145702,1863,"C. Immobile",2223,SA,2022,ST,ST,81,high
133093,17,"C. Pulišić",1920,PL,2019,Winger,Winger,81,high
138914,930,"Carlos Soler",2122,LL,2021,CM,CM,81,medium
166061,104,"Carlos Vinícius",1920,PRT,2019,ST,ST,81,high
153903,410,"D. Caligiuri",1718,BL,2017,CDM,FB,81,medium
181739,332,"D. Mertens",2324,TR,2023,ST,CAM,81,high
154027,26307,"Daniel Didavi",1718,BL,2017,CDM,CAM,81,medium
133525,18809,"Deulofeu",1819,PL,2018,ST,ST,81,low
173285,93990,"Dirk Kuijt",1516,ERE,2015,Winger,ST,81,medium
132336,80,"E. Dennis",2122,PL,2021,ST,ST,81,low
157432,137303,"E. Guessand",2425,L1,2024,ST,ST,81,medium
134751,176,"E. Lamela",1516,PL,2015,Winger,Winger,81,high
138966,47499,"E. Ünal",2122,LL,2021,ST,ST,81,high
172920,47499,"E. Ünal",1617,ERE,2016,ST,ST,81,high
153315,26257,"F. Niederlechner",1920,BL,2019,ST,ST,81,medium
133543,2412,"Felipe Anderson",1819,PL,2018,CM,Winger,81,high
141567,33413,"Fernando Torres",1516,LL,2015,ST,ST,81,high
147284,30461,"G. Defrel",1819,SA,2018,ST,ST,81,medium
133363,18982,"G. Murray",1819,PL,2018,ST,ST,81,high
157324,20732,"G. Perrin",2425,L1,2024,Winger,Winger,81,low
140922,1707,"Gerard Moreno",1617,LL,2016,ST,ST,81,high
184247,44317,"Giuliano",1718,TR,2017,CAM,Winger,81,low
176543,27104,"H. Cuypers",2122,BPL,2021,ST,ST,81,medium
184697,49892,"H. Rodallega",1516,TR,2015,,ST,81,medium
172539,548,"H. Ziyech",1718,ERE,2017,Winger,CAM,81,medium
140306,47283,"Ibai Gómez",1718,LL,2017,CM,Winger,81,medium
158617,25008,"J. Clauss",2122,L1,2021,CDM,FB,81,high
133661,900,"J. Lingard",1718,PL,2017,CAM,CAM,81,low
132398,18784,"J. Maddison",2021,PL,2020,ST,CAM,81,high
133212,18784,"J. Maddison",1819,PL,2018,CM,CAM,81,high
153817,25927,"J. Mateta",1819,BL,2018,ST,ST,81,high
141576,517,"J. Rodríguez",1516,LL,2015,CAM,CAM,81,low
131358,2938,"J. Ward-Prowse",2324,PL,2023,CM,CM,81,medium
131734,2938,"J. Ward-Prowse",2223,PL,2022,CM,CM,81,high
132536,2778,"K. Ịheanachọ",2021,PL,2020,ST,ST,81,medium
158616,22264,"L. Ajorque",2122,L1,2021,ST,ST,81,high
169910,246,"L. de Jong",2425,ERE,2024,ST,ST,81,high
185070,33255,"Ł. Podolski",1516,TR,2015,Winger,Winger,81,low
140568,757,"Lucas Vázquez",1718,LL,2017,FB,Winger,81,medium
178488,30817,"Łukasz Teodorczyk",1617,BPL,2016,ST,ST,81,high
132630,18819,"M. Antonio",2021,PL,2020,ST,ST,81,high
182646,1917,"M. Balotelli",2122,TR,2021,Winger,ST,81,medium
131331,18746,"M. Gibbs-White",2324,PL,2023,CM,CAM,81,medium
154635,26314,"M. Gómez",1617,BL,2016,ST,ST,81,high
159928,3244,"M. Gradel",1819,L1,2018,CM,Winger,81,medium
147330,878,"M. Mandžukić",1819,SA,2018,ST,ST,81,medium
152289,21509,"M. Thuram",2223,BL,2022,ST,ST,81,high
171976,36982,"M. Vlap",1819,ERE,2018,CM,CAM,81,medium
145389,30937,"M. Zaccagni",2223,SA,2022,Winger,Winger,81,high
130814,283058,"N. Jackson",2425,PL,2024,ST,ST,81,high
177041,544,"N. Lang",2021,BPL,2020,Winger,Winger,81,high
153916,26258,"N. Petersen",1718,BL,2017,Winger,ST,81,high
137429,128398,"Oihan Sancet",2425,LL,2024,CM,CAM,81,medium
147704,30433,"P. Gómez",1718,SA,2017,ST,CAM,81,medium
140655,1697,"Pablo Fornals",1718,LL,2017,CM,CM,81,medium
140668,147,"Philippe Coutinho",1718,LL,2017,CAM,Winger,81,medium
140447,47520,"Portu",1718,LL,2017,Winger,Winger,81,medium
151264,2598,"R. Dōan",2425,BL,2024,CM,Winger,81,high
159983,119,"R. Falcao",1819,L1,2018,Winger,ST,81,high
130921,2887,"R. Jiménez",2425,PL,2024,ST,ST,81,high
132686,635,"R. Mahrez",2021,PL,2020,Winger,Winger,81,high
140964,30483,"R. Soriano",1617,LL,2016,CM,CM,81,low
171047,48390,"R. van Wolfswinkel",2122,ERE,2021,ST,ST,81,medium
166405,573,"Rafa",1819,PRT,2018,Winger,Winger,81,high
133084,302,"Roberto Firmino",1920,PL,2019,Winger,ST,81,high
140746,47012,"Rubén Castro",1617,LL,2016,ST,ST,81,high
172764,30632,"S. Armenteros",1617,ERE,2016,Winger,ST,81,medium
164447,20674,"S. Banza",2324,PRT,2023,ST,ST,81,high
172135,37160,"S. Berghuis",1819,ERE,2018,ST,Winger,81,high
147054,791,"S. El Shaarawy",1819,SA,2018,ST,Winger,81,medium
131664,18973,"S. March",2223,PL,2022,CM,Winger,81,high
154948,25352,"Salomon Armand Magloire Kalou",1516,BL,2015,,Winger,81,low
131062,186,"Son Heung-Min",2425,PL,2024,Winger,Winger,81,high
131876,186,"Son Heung-Min",2223,PL,2022,ST,Winger,81,high
148266,1650,"Suso",1617,SA,2016,Winger,Winger,81,high
184291,2664,"Trézéguet",1718,TR,2017,CM,Winger,81,medium
148030,30559,"V. Birsa",1617,SA,2016,CDM,CAM,81,medium
146115,2780,"V. Osimhen",2122,SA,2021,ST,ST,81,high
133140,2294,"Willian",1920,PL,2019,ST,Winger,81,high
138066,47422,"Y. En-Nesyri",2324,LL,2023,ST,ST,81,high
131262,20649,"Y. Wissa",2324,PL,2023,ST,ST,81,medium
133265,18927,"A. Barnes",1819,PL,2018,Winger,ST,80,high
148360,30509,"A. Belotti",1516,SA,2015,,ST,80,medium
148526,202,"A. Candreva",1516,SA,2015,Winger,Winger,80,high
148046,1629,"A. Conti",1617,SA,2016,CDM,FB,80,high
147036,1274,"A. Cornelius",1920,SA,2019,ST,ST,80,medium
138748,53,"Á. Correa",2122,LL,2021,ST,ST,80,medium
160304,266,"Á. Di María",1718,L1,2017,ST,Winger,80,high
130843,157997,"A. Diallo",2425,PL,2024,ST,Winger,80,low
175773,45017,"A. Dreyer",2324,BPL,2023,Winger,Winger,80,medium
158444,85041,"A. Gouiri",2122,L1,2021,ST,Winger,80,low
158898,85041,"A. Gouiri",2021,L1,2020,Winger,ST,80,low
182248,49891,"A. Nwakaeme",2122,TR,2021,Winger,Winger,80,medium
145349,2522,"A. Sanabria",2223,SA,2022,ST,ST,80,high
181104,11012,"A. Sowe",2425,TR,2024,ST,ST,80,medium
140328,392,"Adrián López",1718,LL,2017,UNK,ST,80,low
166044,378,"Alex Telles",1920,PRT,2019,CB,FB,80,high
160117,2206,"B. Bourigeaud",1718,L1,2017,CM,CM,80,medium
172333,36908,"B. Johnsen",1718,ERE,2017,Winger,ST,80,medium
130749,129711,"B. Johnson",2425,PL,2024,Winger,Winger,80,high
172166,37272,"B. Kuwas",1819,ERE,2018,ST,Winger,80,medium
132801,636,"Bernardo Silva",1920,PL,2019,CAM,Winger,80,low
137986,47472,"Borja Mayoral",2324,LL,2023,ST,ST,80,high
131073,247,"C. Gakpo",2425,PL,2024,Winger,Winger,80,high
131463,67972,"C. Gallagher",2324,PL,2023,CDM,CM,80,medium
131402,19083,"C. Morris",2324,PL,2023,ST,ST,80,high
140191,47464,"Campaña",1819,LL,2018,CM,CM,80,high
133217,18870,"D. Brooks",1819,PL,2018,Winger,Winger,80,high
132869,18766,"D. Calvert-Lewin",1920,PL,2019,ST,ST,80,high
148105,30487,"D. Falcinelli",1617,SA,2016,ST,ST,80,high
152309,2601,"D. Kamada",2223,BL,2022,CDM,CDM,80,low
131978,30435,"D. Kulusevski",2122,PL,2021,ST,Winger,80,high
146568,332,"D. Mertens",2021,SA,2020,ST,ST,80,low
147015,332,"D. Mertens",1920,SA,2019,ST,ST,80,medium
160338,1912,"D. Payet",1718,L1,2017,Winger,CAM,80,medium
130875,1469,"D. Welbeck",2425,PL,2024,ST,ST,80,medium
147504,2495,"D. Zapata",1718,SA,2017,ST,ST,80,high
141376,928,"Dani Parejo",1516,LL,2015,CM,CM,80,medium
148291,793,"Diego Perotti",1617,SA,2016,ST,Winger,80,medium
147764,865,"Douglas Costa",1718,SA,2017,Winger,Winger,80,high
148123,2050,"É. Banega",1617,SA,2016,CDM,CAM,80,low
132739,274,"E. Cavani",2021,PL,2020,ST,ST,80,high
187417,46930,"E. Demirović",2425,BL,2024,ST,ST,80,medium
147410,790,"E. Džeko",1819,SA,2018,ST,ST,80,high
157262,203762,"E. Emegha",2425,L1,2024,ST,ST,80,high
154291,25319,"F. Bartels",1617,BL,2016,ST,Winger,80,low
146293,31060,"F. Caputo",2021,SA,2020,ST,ST,80,high
153883,1821,"F. Kostić",1819,BL,2018,Winger,FB,80,medium
147989,30463,"F. Quagliarella",1617,SA,2016,ST,ST,80,high
166624,33108,"Fabrício",1718,PRT,2017,Winger,ST,80,low
172321,2187,"Fran Sol",1718,ERE,2017,ST,ST,80,medium
159142,47545,"G. Kakuta",2021,L1,2020,ST,CAM,80,high
169868,36905,"G. Til",2425,ERE,2024,CM,CM,80,low
177764,8628,"H. Harbaoui",1819,BPL,2018,ST,ST,80,medium
133507,1457,"H. Mkhitaryan",1819,PL,2018,CDM,Winger,80,low
131925,633,"İ. Gündoğan",2223,PL,2022,CM,CAM,80,medium
137438,745,"Isco",2425,LL,2024,CM,CAM,80,medium
151936,152654,"J. Frimpong",2324,BL,2023,Winger,FB,80,high
132826,19187,"J. Grealish",1920,PL,2019,ST,Winger,80,medium
132479,19128,"J. Harrison",2021,PL,2020,Winger,Winger,80,high
152486,25635,"J. Hofmann",2122,BL,2021,ST,Winger,80,low
176563,1942,"J. Ito",2122,BPL,2021,Winger,Winger,80,high
153622,502,"J. Kimmich",1819,BL,2018,FB,FB,80,high
133588,18881,"J. King",1819,PL,2018,ST,ST,80,medium
131652,19192,"J. Ramsey",2223,PL,2022,CM,CM,80,low
141118,517,"J. Rodríguez",1617,LL,2016,CAM,CAM,80,low
140114,47408,"J. Silva",1819,LL,2018,CB,FB,80,medium
151564,15592,"J. Stage",2425,BL,2024,CM,CM,80,medium
134061,18878,"J. Stanislas",1617,PL,2016,CM,Winger,80,medium
140516,1579,"Joaquín",1718,LL,2017,CDM,Winger,80,high
140892,12667,"Jonathan Viera",1617,LL,2016,CM,CAM,80,high
140066,128,"Jordi Alba",1819,LL,2018,CB,FB,80,high
138452,18907,"Joselu",2223,LL,2022,ST,ST,80,high
138902,18907,"Joselu",2122,LL,2021,Winger,ST,80,high
154879,551,"K. Huntelaar",1516,BL,2015,,ST,80,high
159832,22247,"K. Lala",1819,L1,2018,CB,FB,80,high
131670,106835,"K. Mitoma",2223,PL,2022,CM,Winger,80,high
151716,25461,"K. Stöger",2324,BL,2023,CM,CM,80,low
158503,1709,"K. Toko Ekambi",2122,L1,2021,Winger,Winger,80,high
131235,169,"K. Trippier",2324,PL,2023,FB,FB,80,high
154056,989,"K. Volland",1718,BL,2017,ST,ST,80,medium
186827,161948,"L. Delap",2425,PL,2024,ST,ST,80,high
158484,154,"L. Messi",2122,L1,2021,ST,Winger,80,medium
145922,2493,"L. Muriel",2122,SA,2021,ST,ST,80,medium
148136,2493,"L. Muriel",1617,SA,2016,ST,ST,80,medium
170952,86,"L. Openda",2122,ERE,2021,ST,ST,80,high
151980,644,"L. Sané",2324,BL,2023,Winger,Winger,80,high
154405,25639,"L. Stindl",1617,BL,2016,ST,ST,80,low
154769,25639,"L. Stindl",1516,BL,2015,,CAM,80,low
131131,1946,"L. Trossard",2324,PL,2023,Winger,Winger,80,medium
151634,200139,"M. Amoura",2425,BL,2024,ST,ST,80,medium
133035,18819,"M. Antonio",1920,PL,2019,ST,ST,80,low
151663,158644,"M. Beier",2324,BL,2023,ST,ST,80,medium
186878,18746,"M. Gibbs-White",2223,PL,2022,ST,CAM,80,medium
182747,3244,"M. Gradel",2021,TR,2020,Winger,Winger,80,medium
173246,19421,"M. Henriksen",1516,ERE,2015,,CM,80,low
166907,393,"M. Marega",1617,PRT,2016,ST,ST,80,medium
172099,37127,"M. Ødegaard",1819,ERE,2018,Winger,CAM,80,medium
153871,25324,"M. Rashica",1819,BL,2018,Winger,Winger,80,medium
153472,1159,"M. Sabitzer",1920,BL,2019,CM,CM,80,medium
153419,21509,"M. Thuram",1920,BL,2019,ST,Winger,80,medium
144577,30937,"M. Zaccagni",2425,SA,2024,Winger,Winger,80,high
160242,156,"Malcom",1718,L1,2017,ST,Winger,80,high
133939,2278,"Marcos Alonso",1718,PL,2017,CDM,FB,80,high
172986,49037,"Mike Havenaar",1516,ERE,2015,,ST,80,medium
154562,294,"N. Keïta",1617,BL,2016,CM,CM,80,high
169911,544,"N. Lang",2425,ERE,2024,Winger,Winger,80,medium
154718,25382,"N. Müller",1516,BL,2015,,Winger,80,medium
140151,153,"O. Dembélé",1819,LL,2018,Winger,Winger,80,high
