card_id,api_player_id,player_name,season,club,current_pool,verified_position,confidence,evidence,source,fetched_at
183839,50048,V. Muriqi,1819,Rizespor,Winger,ST,high,"Centre-Forward 36  (base 36, ST 100%)",transfermarkt,2026-08-11T10:52:28.957Z
139401,47422,Y. En-Nesyri,2021,Sevilla,Winger,ST,high,"Centre-Forward 38, Left Winger 3, Right Winger 1  (base 42, ST 90%)",transfermarkt,2026-08-11T10:53:06.351Z
132225,18819,M. Antonio,2122,West Ham,ST,CB,high,"Centre-Back 54  (base 54, CB 100%)",transfermarkt,2026-08-11T10:53:34.844Z
130687,10329,João Pedro,2425,Brighton,ST,ST,high,"Centre-Forward 19, Second Striker 8, Attacking Midfield 2, Left Winger 2  (base 31, ST 61%)",transfermarkt,2026-08-11T10:56:50.191Z
130800,25927,J. Mateta,2425,Crystal Palace,ST,ST,high,"Centre-Forward 46  (base 46, ST 100%)",transfermarkt,2026-08-11T10:57:15.210Z
130871,106835,K. Mitoma,2425,Brighton,CM,Winger,high,"Left Winger 33, Left Midfield 3, Attacking Midfield 1  (base 37, Winger 97%)",transfermarkt,2026-08-11T10:57:41.358Z
131333,18931,C. Wood,2324,Nottingham Forest,ST,Winger,high,"Right Winger 18, Left Winger 9, Centre-Forward 9  (base 36, Winger 75%)",transfermarkt,2026-08-11T10:58:37.659Z
131386,19617,M. Olise,2324,Crystal Palace,Winger,Winger,high,"Right Winger 17, Centre-Forward 1  (base 18, Winger 94%)",transfermarkt,2026-08-11T11:01:59.184Z
131528,19586,E. Eze,2223,Crystal Palace,CM,CAM,low,"Attacking Midfield 13, Left Winger 11, Central Midfield 10  (base 34, CAM 38%)",transfermarkt,2026-08-11T11:03:38.928Z
131883,2825,A. Mitrović,2223,Fulham,ST,ST,high,"Centre-Forward 27  (base 27, ST 100%)",transfermarkt,2026-08-11T11:03:57.236Z
131966,289,A. Robertson,2122,Liverpool,CB,FB,high,"Left-Back 47  (base 47, FB 100%)",transfermarkt,2026-08-11T11:05:48.602Z
131983,631,P. Foden,2122,Manchester City,ST,ST,low,"Centre-Forward 19, Left Winger 15, Attacking Midfield 7, Right Winger 2, Central Midfield 1  (base 44, ST 43%)",transfermarkt,2026-08-11T11:10:10.352Z
132098,2938,J. Ward-Prowse,2122,Southampton,CM,CM,high,"Central Midfield 42  (base 42, CM 100%)",transfermarkt,2026-08-11T11:11:52.023Z
132281,635,R. Mahrez,2122,Manchester City,ST,Winger,high,"Right Winger 44, Right Midfield 1, Centre-Forward 1  (base 46, Winger 98%)",transfermarkt,2026-08-11T11:12:18.621Z
132290,19974,I. Toney,2122,Brentford,ST,ST,high,"Centre-Forward 36  (base 36, ST 100%)",transfermarkt,2026-08-11T11:13:55.800Z
132596,18955,D. Ings,2021,Southampton,ST,UNSURE,low,"NETWORK TimeoutError , retryable, card not attempted",transfermarkt,2026-08-11T11:16:11.825Z
132626,645,R. Sterling,2021,Manchester City,ST,UNSURE,low,identity not resolved: club 'Manchester City' on none of 0 candidate(s),transfermarkt,2026-08-11T11:19:08.523Z
