player_name,season,club,league,current_pool,goals,assists,minutes,rt
Bernardo Silva,1819,Manchester City,PL,CAM,7,7,2853,81
E. Smith Rowe,2122,Arsenal,PL,CAM,10,2,1921,81
Giuliano,1718,Fenerbahçe,TR,CAM,14,5,2594,81
H. Barnes,1920,Leicester,PL,CAM,6,8,2091,81
I. Saibari,2425,PSV Eindhoven,ERE,CAM,11,11,1786,81
J. Lingard,1718,Manchester United,PL,CAM,8,5,1821,81
J. Rodríguez,1516,Real Madrid,LL,CAM,7,8,1515,81
J. Rodríguez,1415,Real Madrid,LL,CAM,13,NR,2290,81
J. Rodríguez,1718,Bayern München,BL,CAM,7,11,1625,81
M. Hamšík,1516,Napoli,SA,CAM,6,11,3245,81
Philippe Coutinho,1516,Liverpool,PL,CAM,8,5,2005,81
Philippe Coutinho,1718,Barcelona,LL,CAM,8,5,1304,81
R. Cherki,2425,Lyon,L1,CAM,8,11,2054,81
S. Milinković-Savić,2021,Lazio,SA,CAM,8,9,2754,81
T. Bongonda,2021,Genk,BPL,CAM,16,8,2908,81
X. Simons,2324,RB Leipzig,BL,CAM,8,11,2675,81
A. Ljajić,1819,Beşiktaş,TR,CAM,9,11,2229,80
Bernardo Silva,2122,Manchester City,PL,CAM,8,4,2861,80
Bernardo Silva,1920,Manchester City,PL,CAM,6,7,2029,80
Bruno Fernandes,1718,Sporting CP,PRT,CAM,11,8,2806,80
C. Palmer,2526,Chelsea,PL,CAM,10,1,1978,80
D. Alli,1920,Tottenham,PL,CAM,8,4,1853,80
D. Szoboszlai,2526,Liverpool,PL,CAM,6,7,3244,80
Dani Olmo,2526,Barcelona,LL,CAM,7,8,2077,80
F. Honorat,2122,Stade Brestois 29,L1,CAM,11,4,2911,80
H. Mkhitaryan,1920,AS Roma,SA,CAM,9,5,1534,80
H. Vanaken,2122,Club Brugge KV,BPL,CAM,11,9,3286,80
J. Bellingham,2425,Real Madrid,LL,CAM,9,8,2493,80
J. Brandt,2324,Borussia Dortmund,BL,CAM,7,11,2230,80
J. Brandt,2223,Borussia Dortmund,BL,CAM,9,8,2410,80
J. Brandt,2122,Borussia Dortmund,BL,CAM,9,8,2082,80
J. Ito,2021,Genk,BPL,CAM,11,14,3232,80
J. Maddison,2324,Tottenham,PL,CAM,4,9,2154,80
J. Rodríguez,1617,Real Madrid,LL,CAM,8,6,1179,80
João Mário,2223,Benfica,PRT,CAM,17,6,2477,80
K. De Bruyne,2324,Manchester City,PL,CAM,4,10,1235,80
L. Pellegrini,2122,AS Roma,SA,CAM,9,5,2300,80
M. Mahi,1617,Groningen,ERE,CAM,17,3,2570,80
P. Foden,2526,Manchester City,PL,CAM,7,5,2119,80
Philippe Coutinho,1718,Liverpool,PL,CAM,7,6,1116,80
Pizzi,1617,Benfica,PRT,CAM,10,8,2846,80
R. Ghezzal,2021,Beşiktaş,TR,CAM,8,17,2418,80
Rafael van der Vaart,1112,Tottenham,PL,CAM,11,NR,2335,80
S. Szymański,2324,Fenerbahçe,TR,CAM,10,11,2916,80
T. Hazard,1718,Borussia Mönchengladbach,BL,CAM,10,5,2946,80
