club_rank,player_name,season,club,league,current_pool,coarse_position,rt,goals,assists,minutes,dribbles_per90,status,api_player_id,card_id
3,J. Kimmich,2425,Bayern München,BL,CDM,MID,70,3,7,2847,0.38,unchecked,502,151522
3,J. Musiala,2122,Bayern München,BL,CM,MID,70,5,5,1454,3.53,unchecked,181812,152535
3,S. Gnabry,2021,Bayern München,BL,CAM,FWD,70,10,2,1652,1.31,held,510,153096
3,A. Vidal,1718,Bayern München,BL,CM,MID,70,6,2,1459,0.56,unchecked,151,154165
4,Nenê,1112,Paris Saint Germain,L1,CAM,MID,89,21,11,3033,NR,held,9970,162793
4,Á. Di María,1920,Paris Saint Germain,L1,CDM,MID,86,8,14,2005,3.01,unchecked,266,159482
4,Nenê,1011,Paris Saint Germain,L1,CAM,MID,85,14,9,3089,NR,held,9970,163158
4,Vitinha,2324,Paris Saint Germain,L1,CM,MID,73,7,4,2129,1.35,unchecked,128384,157854
4,João Neves,2425,Paris Saint Germain,L1,CM,MID,70,3,8,1857,0.78,unchecked,335051,157285
5,K. De Bruyne,1920,Manchester City,PL,CAM,MID,91,13,20,2800,1.54,unchecked,629,133095
5,Yaya Touré,1314,Manchester City,PL,CM,MID,90,20,9,2927,NR,unchecked,90493,135435
5,K. De Bruyne,2122,Manchester City,PL,CM,MID,88,15,8,2205,1.27,written,629,132293
5,K. De Bruyne,1718,Manchester City,PL,CM,MID,88,8,16,3085,1.84,written,629,133902
5,K. De Bruyne,2223,Manchester City,PL,CAM,MID,87,7,16,2425,1.19,unchecked,629,131889
5,K. De Bruyne,1617,Manchester City,PL,CAM,MID,87,6,18,2885,1.62,held,629,134310
5,Rodri,2324,Manchester City,PL,CDM,MID,86,8,9,2938,1.29,unchecked,44,131182
5,K. De Bruyne,2021,Manchester City,PL,CM,MID,85,6,12,2001,2.16,written,629,132704
5,İ. Gündoğan,2021,Manchester City,PL,CM,MID,85,13,2,2034,1.19,unchecked,633,132742
5,K. De Bruyne,1516,Manchester City,PL,CAM,MID,84,7,9,2003,1.62,held,629,134720
5,R. Cherki,2526,Manchester City,PL,CAM,MID,82,4,12,1806,2.49,held,156477,130481
5,Bernardo Silva,2324,Manchester City,PL,CM,MID,82,6,9,2581,1.33,written,636,131184
5,David Silva,1415,Manchester City,PL,CAM,MID,82,12,NR,2661,0.14,unchecked,634,134879
5,P. Foden,2526,Manchester City,PL,CAM,MID,80,7,5,2119,1.06,held,631,130598
5,K. De Bruyne,2324,Manchester City,PL,CAM,MID,80,4,10,1235,0.73,held,629,131490
5,İ. Gündoğan,2223,Manchester City,PL,CM,MID,80,8,4,2377,0.61,unchecked,633,131925
5,Bernardo Silva,2122,Manchester City,PL,CM,MID,80,8,4,2861,1.67,written,636,131984
5,İ. Gündoğan,2122,Manchester City,PL,CM,MID,80,8,4,1859,1.16,unchecked,633,132342
5,Bernardo Silva,1920,Manchester City,PL,CAM,MID,80,6,7,2029,1.77,held,636,132801
5,K. De Bruyne,2425,Manchester City,PL,CM,MID,77,4,7,1715,0.63,unchecked,629,131067
5,Rodri,2122,Manchester City,PL,CDM,MID,77,7,2,2887,0.37,written,44,131980
5,P. Foden,2425,Manchester City,PL,CM,MID,76,7,2,1786,0.71,unchecked,631,130769
5,M. Kovačić,2425,Manchester City,PL,CDM,MID,75,6,2,2207,0.9,unchecked,2291,130771
5,İ. Gündoğan,1819,Manchester City,PL,CM,MID,75,6,3,2141,0.8,unchecked,633,133554
5,Bernardo Silva,2223,Manchester City,PL,CM,MID,73,4,5,2222,1.13,unchecked,636,131584
5,T. Reijnders,2526,Manchester City,PL,CM,MID,71,5,2,1640,1.04,unchecked,36902,130478
5,Rodri,2223,Manchester City,PL,CDM,MID,71,2,6,2920,0.77,unchecked,44,131581
5,Fernandinho,1718,Manchester City,PL,CM,MID,71,5,3,2885,0.69,unchecked,640,133950
5,Bernardo Silva,2425,Manchester City,PL,CM,MID,70,4,4,2671,0.91,unchecked,636,130770
5,Bernardo Silva,2021,Manchester City,PL,CM,MID,70,2,6,2071,1.78,unchecked,636,132394
6,Bruno Fernandes,2526,Manchester United,PL,CM,MID,90,9,21,3066,0.44,written,1485,130524
6,Bruno Fernandes,2021,Manchester United,PL,CAM,MID,90,18,12,3109,0.67,unchecked,1485,132427
6,P. Pogba,1819,Manchester United,PL,CM,MID,88,13,9,3011,1.79,unchecked,904,133538
6,Bruno Fernandes,2324,Manchester United,PL,CAM,MID,85,10,8,3119,0.55,unchecked,1485,131237
6,Bruno Fernandes,2122,Manchester United,PL,CAM,MID,85,10,6,3119,0.75,unchecked,1485,132020
6,Bruno Fernandes,2223,Manchester United,PL,CAM,MID,84,8,8,3325,0.87,unchecked,1485,131634
6,P. Pogba,1718,Manchester United,PL,CM,MID,83,6,10,2151,3.14,written,904,133935
6,Casemiro,2526,Manchester United,PL,CDM,MID,82,9,2,2593,0.21,unchecked,747,130520
6,Bruno Fernandes,1920,Manchester United,PL,CAM,MID,82,8,7,1193,1.13,unchecked,1485,132831
6,J. Lingard,1718,Manchester United,PL,CAM,MID,81,8,5,1821,1.38,held,900,133661
6,S. McTominay,2324,Manchester United,PL,CDM,MID,77,7,1,1919,0.38,unchecked,903,131492
6,Mata,1617,Manchester United,PL,CM,MID,75,6,3,1628,0.77,unchecked,901,134393
6,C. Eriksen,2223,Manchester United,PL,CDM,MID,73,1,8,2067,0.35,unchecked,174,131895
6,P. Pogba,2122,Manchester United,PL,CM,MID,73,1,9,1353,2.59,unchecked,904,132318
6,P. Pogba,1617,Manchester United,PL,CM,MID,73,5,4,2609,2.48,written,904,134344
6,Casemiro,2223,Manchester United,PL,CDM,MID,71,4,3,2126,0.38,unchecked,747,131630
6,Fred,2122,Manchester United,PL,CM,MID,71,4,4,2035,0.93,unchecked,905,132343
6,Mata,1718,Manchester United,PL,CM,MID,71,3,5,1930,0.79,unchecked,901,133989
7,A. Lallana,1617,Liverpool,PL,CM,MID,83,8,7,2349,1.26,unchecked,295,134223
7,J. Milner,1516,Liverpool,PL,CM,MID,83,5,11,2416,0.71,unchecked,296,134439
7,G. Wijnaldum,1617,Liverpool,PL,CM,MID,82,6,9,2978,0.91,unchecked,300,134340
7,D. Szoboszlai,2526,Liverpool,PL,CM,MID,80,6,7,3244,0.72,written,1096,130267
7,Philippe Coutinho,1718,Liverpool,PL,CAM,MID,80,7,6,1116,3.15,held,147,133946
7,D. Szoboszlai,2425,Liverpool,PL,CM,MID,79,6,6,2495,0.76,unchecked,1096,130729
7,A. Mac Allister,2425,Liverpool,PL,CDM,MID,78,5,5,2607,0.55,unchecked,6716,130721
