player_name,season,club,current_pool,goals,assists,minutes,dribbles_success,passes_key
G. Lo Celso,1718,Paris Saint Germain,CAM,4,3,1768,47,18
Gelson Martins,1819,Monaco,CAM,4,2,1393,25,17
J. Corona,1617,FC Porto,CAM,3,5,1651,61,43
J. Fernándes,1617,Alanyaspor,CAM,6,3,1186,22,12
J. Izquierdo,1718,Brighton,CAM,5,3,1987,32,21
J. Stojanović,1819,Kortrijk,CAM,9,NR,1380,NR,NR
J. Veerman,2122,PSV Eindhoven,CAM,4,6,1037,30,43
L. Blas,1920,Nantes,CAM,5,1,1858,59,24
M. Pantović,2122,VfL Bochum,CAM,4,3,1537,6,33
M. Richter,1920,FC Augsburg,CAM,4,3,2288,44,23
M. Simon,1920,Nantes,CAM,5,5,2182,36,36
Nico Williams,2425,Athletic Club,CAM,5,5,1998,70,40
P. Gerkens,1819,Anderlecht,CAM,7,NR,1979,NR,NR
R. Ghezzal,2122,Beşiktaş,CAM,3,7,2620,68,85
S. McTominay,1920,Manchester United,CAM,4,1,1772,31,16
A. Umar,1718,Ankaraspor,CAM,5,6,2337,68,42
Amilton,2021,Antalyaspor,CAM,5,4,2813,61,28
B. Manuel,2122,Antwerp,CAM,5,6,1990,46,35
Brahim Díaz,2122,AC Milan,CAM,3,3,1876,45,31
Burgui,1617,Sporting Gijon,CAM,2,4,1996,56,32
D. Akintola,2021,Hatayspor,CAM,6,7,2929,53,35
D. McNeil,1819,Burnley,CAM,3,5,1599,31,26
F. Borini,2021,Fatih Karagümrük,CAM,9,1,1683,12,14
J. Draxler,1819,Paris Saint Germain,CAM,3,7,2044,44,43
J. Musiala,2021,Bayern München,CAM,6,1,870,44,9
João Amaral,1617,Vitoria Setubal,CAM,5,2,2281,31,49
Joelinton,2122,Newcastle,CAM,4,1,2559,37,29
K. Bellarabi,1920,Bayer Leverkusen,CAM,4,5,1426,47,26
L. Bailey,1920,Bayer Leverkusen,CAM,5,3,1093,35,21
M. Richter,2122,Hertha BSC,CAM,5,1,1710,16,17
Nico Williams,2223,Athletic Club,CAM,6,4,2673,84,47
P. Twumasi,1920,Gaziantep FK,CAM,6,4,1534,19,23
Q. Menig,1617,PEC Zwolle,CAM,9,1,2532,45,28
R. Mühren,1718,Sparta Rotterdam,CAM,7,4,2133,11,32
S. McTominay,2021,Manchester United,CAM,4,1,2125,26,17
S. Peña,1920,Emmen,CAM,4,5,1961,65,75
S. Verdi,2122,Salernitana,CAM,5,NR,836,27,20
T. Reijnders,2122,AZ Alkmaar,CAM,6,2,1478,29,16
W. Hughes,1718,Watford,CAM,2,3,995,7,17
Y. Sarı,2223,Adana Demirspor,CAM,5,6,1584,30,42
Zé Manuel,1819,Santa Clara,CAM,8,1,2205,11,16
A. Aouchiche,2021,Saint Etienne,CAM,2,5,1739,34,59
A. Harit,1718,FC Schalke 04,CAM,3,3,2052,53,38
A. Lookman,2122,Leicester,CAM,6,NR,1456,38,23
A. Nordin,2324,Montpellier,CAM,5,3,1253,34,21
A. Nwakaeme,2021,Trabzonspor,CAM,7,5,2966,94,41
Bruma,2122,PSV Eindhoven,CAM,7,3,1283,33,31
Fábio Martins,1718,SC Braga,CAM,5,4,1113,11,25
Galeno,1920,SC Braga,CAM,6,4,1494,44,30
Hwang Ui-Jo,1920,Bordeaux,CAM,6,2,1638,14,6
I. Bebou,1819,Hannover 96,CAM,4,3,1068,35,16
I. Sarr,2122,Watford,CAM,5,2,1864,34,21
Joan Jordán,2021,Sevilla,CAM,1,6,2418,30,38
João Camacho,1819,Nacional,CAM,7,2,2058,32,18
K. Coman,2122,Bayern München,CAM,6,2,1368,48,25
L. Díaz,2021,FC Porto,CAM,6,5,1635,56,22
M. Paulissen,1617,Roda,CAM,4,3,1477,18,25
Mama Baldé,1920,Dijon,CAM,6,2,1683,26,22
Nolito,1617,Manchester City,CAM,4,2,775,10,13
P. Ntep,1617,Rennes,CAM,2,5,1131,35,26
R. Loftus-Cheek,1718,Crystal Palace,CAM,2,3,1875,72,26
Rodrigo,2122,Leeds,CAM,6,1,2272,22,39
T. Davies,1617,Everton,CAM,2,3,1544,15,15
A. Golovin,1819,Monaco,CAM,3,3,2300,29,26
A. Lookman,2021,Fulham,CAM,4,4,2756,82,62
Douglas Luiz,1920,Aston Villa,CAM,3,2,2608,35,17
E. Akbaba,2021,Galatasaray,CAM,5,2,1424,17,18
E. Kılınç,1718,Sivasspor,CAM,2,6,2748,39,44
E. Yeşilyurt,2021,Sivasspor,CAM,3,5,1925,19,29
Eljero George Rinaldo Elia,1718,Başakşehir,CAM,5,4,1665,39,20
Gil Dias,1617,Rio Ave,CAM,6,4,2576,83,29
Heriberto Tavares,1819,Moreirense,CAM,6,3,2296,21,22
I. Mbenza,1718,Montpellier,CAM,8,NR,2094,22,29
J. Draxler,1718,Paris Saint Germain,CAM,4,5,1706,45,29
J. Kluivert,2122,Nice,CAM,4,5,1966,41,35
J. Reine-Adélaïde,1819,Angers,CAM,3,3,2565,94,33
Jorge de Frutos,2425,Rayo Vallecano,CAM,6,3,2512,31,32
Junior Messias,2122,AC Milan,CAM,5,2,1425,30,21
M. Greenwood,2122,Manchester United,CAM,5,1,1281,32,17
M. Gregoritsch,1819,FC Augsburg,CAM,6,2,2493,14,29
M. Locatelli,2021,Sassuolo,CAM,4,2,2885,27,39
M. Rosheuvel,1819,NAC Breda,CAM,5,6,2462,42,60
M. Vlap,1718,Heerenveen,CAM,4,3,1397,25,22
Muniain,2021,Athletic Club,CAM,5,3,1954,41,35
Ó. Trejo,1819,Rayo Vallecano,CAM,1,4,1773,34,29
Paulinho,1718,Portimonense,CAM,2,5,1569,44,45
Pedri,2021,Barcelona,CAM,3,3,2427,29,39
R. Mandragora,1819,Udinese,CAM,3,2,2921,4,29
S. Eduok,1617,Kasımpaşa,CAM,4,2,1695,36,19
Y. Adli,2021,Bordeaux,CAM,2,5,2417,50,54
Y. Maleh,2122,Fiorentina,CAM,2,3,1013,4,14
A. El Ghazi,2223,PSV Eindhoven,CAM,8,NR,1182,21,13
A. Guðmundsson,1819,AZ Alkmaar,CAM,6,2,1307,31,20
A. Iwobi,2223,Everton,CAM,2,7,3382,55,64
A. Sabiri,1920,SC Paderborn 07,CAM,4,1,1037,25,7
A. Umar,1819,Rizespor,CAM,6,3,2181,48,28
Álex Berenguer,2122,Athletic Club,CAM,3,6,2172,33,43
C. Goodwin,1617,Sparta Rotterdam,CAM,4,5,1308,16,26
Carlos Júnior,1920,Santa Clara,CAM,7,3,2455,36,14
Galeno,1819,Rio Ave,CAM,5,4,2132,65,41
Gelson Martins,1920,Monaco,CAM,4,1,1682,53,27
Hugo Duro,2122,Valencia,CAM,7,NR,1845,NR,NR
I. Hayden,1819,Newcastle,CAM,1,4,1862,12,23
İ. Kahveci,2122,Fenerbahçe,CAM,4,6,1641,37,46
Isi Palazón,2122,Rayo Vallecano,CAM,2,4,2300,36,34
J. Corona,1718,FC Porto,CAM,3,3,1445,52,25
J. Dilrosun,2223,Feyenoord,CAM,5,5,1889,50,41
K. Schade,2122,SC Freiburg,CAM,4,1,824,15,7
Kuca,1617,Arouca,CAM,6,1,1036,15,17
M. Azarkan,2223,Excelsior,CAM,3,8,1851,26,41
Mikel Oyarzabal,1617,Real Sociedad,CAM,2,7,2726,36,34
Murilo,1718,Tondela,CAM,7,1,1640,35,17
Nathan,1617,Vitesse,CAM,4,2,1521,26,14
R. Khedira,1819,FC Augsburg,CAM,4,1,2627,2,9
R. Pereyra,1617,Watford,CAM,2,2,1039,12,16
S. Badji,1718,Kayserispor,CAM,3,4,2584,14,30
Stefano Napoleoni,1920,Göztepe,CAM,6,3,2039,26,21
Y. Benzia,1617,Lille,CAM,3,3,1639,32,35
A. El Ghazi,1718,Lille,CAM,4,4,1646,24,25
A. Nordin,2122,Saint Etienne,CAM,4,4,1873,33,26
A. Nordin,2021,Saint Etienne,CAM,4,4,1778,29,23
Antony,2425,Real Betis,CAM,5,2,1364,23,38
Arsénio,1819,Moreirense,CAM,4,5,2316,33,47
B. Samudio,1819,Rizespor,CAM,5,4,2034,29,43
F. Vázquez,1819,Sevilla,CAM,3,4,2285,44,30
Fernando Andrade,1920,Sivasspor,CAM,6,2,1423,33,24
Filipe Soares,1920,Moreirense,CAM,4,3,2614,45,26
Gelson Martins,2021,Monaco,CAM,3,2,1562,40,19
I. Sarr,1718,Rennes,CAM,5,3,1866,64,18
J. Draxler,2021,Paris Saint Germain,CAM,4,3,1059,15,31
K. Demirbay,1920,Bayer Leverkusen,CAM,1,5,1578,28,42
Óscar Melendo,1819,Espanyol,CAM,0,5,2003,33,34
Óscar Plano,1819,Valladolid,CAM,3,4,2697,26,31
Q. Promes,2021,Ajax,CAM,6,NR,1016,17,25
R. Del Castillo,2122,Stade Brestois 29,CAM,0,6,983,20,15
S. Benrahma,2021,West Ham,CAM,1,6,1388,42,28
S. Peña,2021,Emmen,CAM,6,1,2803,58,52
A. El Khayati,1617,ADO Den Haag,CAM,5,NR,689,7,14
A. Iwobi,1617,Arsenal,CAM,3,3,1462,28,27
Amilton,1718,Aves,CAM,3,3,2238,51,31
António Xavier,1819,Tondela,CAM,3,6,2434,36,44
Antony,2223,Manchester United,CAM,4,2,1817,31,29
Carlinhos,1617,Estoril,CAM,3,2,801,11,15
D. McNeil,1920,Burnley,CAM,2,6,3345,77,57
D. Milošević,1617,Konyaspor,CAM,2,4,1932,33,30
D. Rice,2122,West Ham,CAM,1,4,3178,50,24
D. Rossi,2223,Fenerbahçe,CAM,4,5,1584,44,28
D. Saint-Louis,2122,Hatayspor,CAM,4,5,1515,21,26
D. Zakaria,1819,Borussia Mönchengladbach,CAM,4,NR,1956,29,17
Dani Raba,1718,Villarreal,CAM,2,4,1115,27,25
Djalma,1819,Alanyaspor,CAM,4,5,2245,61,38
Fábio Martins,1617,Chaves,CAM,6,2,2081,19,24
Galeno,2425,FC Porto,CAM,8,0,1451,14,23
I. Azzaoui,1718,Willem II,CAM,4,4,1143,46,20
I. Bebou,1718,Hannover 96,CAM,5,2,2139,61,43
I. Cardona,1920,Stade Brestois 29,CAM,6,NR,1449,NR,NR
Jefferson,2021,Gaziantep FK,CAM,4,2,1477,9,10
K. Baldé,1920,Monaco,CAM,4,2,865,5,6
L. Milivojević,1920,Crystal Palace,CAM,3,1,2514,7,29
M. Grujić,1920,Hertha BSC,CAM,4,1,2422,30,12
M. Lestienne,2021,Standard Liege,CAM,5,4,1899,21,40
M. Sanson,2021,Marseille,CAM,2,3,829,9,13
M. Sau,2021,Benevento,CAM,4,2,845,11,19
M. Thiam,2021,Fenerbahçe,CAM,6,2,1490,12,19
N. Mendez-Laing,1819,Cardiff,CAM,4,1,984,29,19
O. Etebo,1718,Feirense,CAM,4,1,1616,25,15
O. Tufan,1617,Fenerbahçe,CAM,3,2,1168,17,15
R. Ghezzal,1718,Monaco,CAM,2,3,995,29,18
S. Kagawa,1819,Beşiktaş,CAM,4,2,546,7,11
S. Lobzhanidze,2021,Ankaragücü,CAM,3,8,2732,46,35
T. Suslov,2021,Groningen,CAM,2,5,1493,21,31
W. Zaha,1920,Crystal Palace,CAM,4,3,3280,163,37
A. Gordon,2122,Everton,CAM,4,2,2285,38,36
A. Ömür,1920,Trabzonspor,CAM,3,2,879,22,18
A. Rabiot,1718,Paris Saint Germain,CAM,1,5,2366,39,28
A. Rabiot,1617,Paris Saint Germain,CAM,3,2,1931,41,14
Bryan Gil,2021,Eibar,CAM,4,3,2273,67,52
C. De Ketelaere,2021,Club Brugge KV,CAM,4,6,2510,37,55
C. Pulišić,1819,Borussia Dortmund,CAM,1,4,483,42,19
D. Cataldi,1718,Benevento,CAM,1,4,2279,23,37
D. van de Beek,2526,Nottingham Forest,CAM,2,2,2080,NR,NR
Dani Ceballos,1819,Real Madrid,CAM,3,NR,1246,14,24
Djalma,1920,Alanyaspor,CAM,4,3,1037,37,19
E. Le Fée,2021,Lorient,CAM,0,6,1817,41,34
E. Rexhbeçaj,1819,VfL Wolfsburg,CAM,2,2,1144,10,8
E. Rigoni,1819,Atalanta,CAM,3,NR,521,16,9
F. de Jong,1819,Ajax,CAM,3,3,2517,60,44
F. Diabaté,2122,Giresunspor,CAM,6,3,2445,40,35
İ. Kahveci,1819,Başakşehir,CAM,4,5,2454,34,33
J. Sancho,2122,Manchester United,CAM,3,3,1900,47,42
K. Coman,1920,Bayern München,CAM,4,3,1507,58,33
L. Díaz,1920,FC Porto,CAM,6,2,1772,45,22
Luís Machado,1718,Feirense,CAM,3,2,1370,15,13
M. Eggestein,1718,Werder Bremen,CAM,2,3,2700,19,15
M. Ihattaren,1920,PSV Eindhoven,CAM,3,3,1783,61,48
M. Mahi,2122,Utrecht,CAM,4,4,879,19,16
Mateus,1617,Arouca,CAM,3,6,2309,37,30
Mateus,1718,Boavista,CAM,6,1,1786,25,17
N. Ampomah,1819,SK Beveren,CAM,7,NR,1765,NR,NR
Nuno Santos,1920,Rio Ave,CAM,2,5,2520,30,71
R. Guitane,2122,Maritimo,CAM,4,2,1916,72,22
Rony Lopes,1617,Lille,CAM,4,4,1874,49,30
S. Mavididi,1920,Dijon,CAM,5,1,1393,29,9
T. Bifouma,1920,Yeni Malatyaspor,CAM,6,1,1360,31,23
T. Boyd,1718,Tondela,CAM,5,2,1434,18,13
T. Souček,1920,West Ham,CAM,3,NR,1041,NR,5
Xeka,1718,Dijon,CAM,2,3,1394,15,23
Y. Sarı,2324,Adana Demirspor,CAM,3,6,1790,41,47
A. Umar,1617,Ankaraspor,CAM,5,2,1912,60,45
Ayoze Pérez,2122,Leicester,CAM,2,3,443,10,11
B. Mensah,2021,Beşiktaş,CAM,4,1,1464,47,27
Bernard,1819,Everton,CAM,1,3,2128,40,41
C. Ekuban,1920,Trabzonspor,CAM,4,3,1151,32,12
D. Machís,2122,Granada CF,CAM,4,2,1379,34,19
D. McNeil,2021,Burnley,CAM,2,5,3070,63,48
D. Rots,2425,Twente,CAM,3,6,2300,16,40
E. Linthorst,1920,VVV Venlo,CAM,4,1,1379,8,14
E. Mor,2122,Fatih Karagümrük,CAM,5,3,1745,69,30
J. Brekalo,1819,VfL Wolfsburg,CAM,3,3,1414,30,20
Ji Dong-Won,1819,FC Augsburg,CAM,4,1,891,19,10
K. Coman,1718,Bayern München,CAM,3,3,1147,54,22
K. Monnet-Paquet,1617,Saint Etienne,CAM,4,4,2373,35,41
L. Bailey,1819,Bayer Leverkusen,CAM,5,1,1919,53,47
L. Samardžić,2122,Udinese,CAM,2,2,469,14,19
M. Balikwisha,2223,Antwerp,CAM,7,1,2369,17,37
M. Fofana,1819,Konyaspor,CAM,6,1,1960,52,24
Maicón Marques Bitencourt,1718,Antalyaspor,CAM,5,3,2455,21,43
Moncayola,2122,Osasuna,CAM,2,3,2923,13,32
N. Pépé,2324,Trabzonspor,CAM,5,2,1128,21,17
O. Aydın,2122,Alanyaspor,CAM,5,NR,600,13,12
P. Sisto,1617,Celta Vigo,CAM,3,3,1664,57,14
R. Mühren,1617,AZ Alkmaar,CAM,6,NR,679,0,4
R. Thomas,1617,PEC Zwolle,CAM,1,5,2220,24,30
Ryan Mendes,2324,Fatih Karagümrük,CAM,4,4,1508,24,27
T. Weah,2122,Lille,CAM,3,4,1619,19,26
V. van Crooij,2122,Sparta Rotterdam,CAM,5,4,2194,9,29
A. Iwobi,2324,Fulham,CAM,5,NR,2202,3,4
A. Ndiaye,1718,Getafe,CAM,3,3,2884,43,23
Amilton,1819,Antalyaspor,CAM,1,4,1153,20,21
Bruma,1718,RB Leipzig,CAM,4,2,1608,68,25
C. Hudson-Odoi,2021,Chelsea,CAM,2,3,1055,15,32
Carlinhos,1920,Vitoria Setubal,CAM,4,1,2435,41,39
D. Akintola,2223,Adana Demirspor,CAM,6,1,1647,34,33
Dzon Delarge,1718,Bursaspor,CAM,5,1,1115,24,17
E. Bekiroğlu,2122,Alanyaspor,CAM,3,2,1504,23,18
Emre Güral,2021,Ankaragücü,CAM,4,3,874,15,17
G. Defrel,2021,Sassuolo,CAM,3,3,1334,14,19
G. Rodrigues,1920,Ankaragücü,CAM,5,1,795,20,13
Gedson Fernandes,2122,Rizespor,CAM,2,3,800,21,10
Gelson Dala,1920,Rio Ave,CAM,6,NR,582,11,3
J. Dilrosun,1920,Hertha BSC,CAM,4,2,1312,38,11
K. Coman,2324,Bayern München,CAM,3,3,1123,28,29
L. Maina,1819,Hannover 96,CAM,1,3,1424,19,16
Lucas Paquetá,2526,West Ham,CAM,4,1,1521,16,23
Luís Machado,1617,Feirense,CAM,2,3,1867,27,16
M. Balikwisha,2425,Antwerp,CAM,4,3,1153,7,24
M. Balikwisha,2324,Antwerp,CAM,4,3,1153,7,24
M. Ingvartsen,2021,Union Berlin,CAM,3,5,1971,16,22
Marco Asensio,1617,Real Madrid,CAM,3,2,1077,24,23
N. Barella,1819,Cagliari,CAM,1,3,3112,42,43
N. Sliti,1819,Dijon,CAM,3,4,2289,87,75
O. Tufan,1718,Fenerbahçe,CAM,3,1,771,12,7
Paulinho,2122,Bayer Leverkusen,CAM,4,2,1219,27,22
R. Del Castillo,2021,Rennes,CAM,0,5,637,19,20
R. Murawski,1920,Denizlispor,CAM,4,1,2812,10,15
S. Chukwueze,2122,Villarreal,CAM,3,3,1327,67,29
S. Gümüş,1920,Antalyaspor,CAM,5,1,729,7,9
S. Mavididi,2425,Leicester,CAM,4,1,1615,35,24
S. Mavididi,2223,Montpellier,CAM,4,2,1284,32,13
Tete Morente,2021,Elche,CAM,2,5,2025,45,15
V. Fischer,2122,Antwerp,CAM,3,4,1112,12,31
Á. Correa,1819,Atletico Madrid,CAM,3,2,1918,63,40
A. Ljajić,2021,Beşiktaş,CAM,2,3,1103,14,33
A. Ömür,2021,Trabzonspor,CAM,2,3,1530,29,24
A. Živković,1718,Benfica,CAM,3,4,1542,34,39
D. Akintola,2425,Rizespor,CAM,3,5,2170,44,26
D. Rice,1920,West Ham,CAM,1,3,3420,49,21
Davidson,2122,Alanyaspor,CAM,5,2,1547,40,19
İ. Kahveci,1920,Başakşehir,CAM,3,5,2244,69,55
I. Louza,1920,Nantes,CAM,2,2,2012,23,35
Ivo Rodrigues,1920,Antwerp,CAM,4,NR,1407,NR,NR
J. Bruun Larsen,2122,1899 Hoffenheim,CAM,4,1,804,9,15
K. Agudelo,2122,Spezia,CAM,3,NR,1235,NR,NR
K. Varga,2021,Kasımpaşa,CAM,4,4,2171,29,16
Luis Rioja,2021,Alaves,CAM,4,2,2099,40,26
Luiz Araújo,1819,Lille,CAM,3,2,767,23,12
Mathias Pereira Lage,1920,Angers,CAM,1,3,1542,13,22
N. Laursen,1920,Emmen,CAM,4,3,1385,62,35
N. Raskin,2021,Standard Liege,CAM,2,4,2612,25,33
Niltinho,1819,Chaves,CAM,3,3,1207,11,18
O. Bukari,2122,Nantes,CAM,2,4,1007,21,18
P. van Amersfoort,1617,Heerenveen,CAM,2,3,2166,8,27
S. Bergwijn,1920,Tottenham,CAM,3,1,704,8,13
Tete Morente,2122,Elche,CAM,3,3,1633,30,16
V. Darida,1617,Hertha BSC,CAM,2,2,1981,14,30
Z. Aboukhlal,2122,AZ Alkmaar,CAM,5,1,832,20,7
A. Jahanbakhsh,2122,Feyenoord,CAM,4,3,1561,43,35
Allano,1718,Estoril,CAM,5,1,1866,58,32
B. Kutlu,2021,Alanyaspor,CAM,3,2,2446,11,38
B. Mensah,1819,Kayserispor,CAM,3,1,1752,52,24
Candeias,1920,Gençlerbirliği S.K.,CAM,3,5,2617,34,47
D. Sinik,2122,Antalyaspor,CAM,3,5,2317,73,27
D. Zakaria,1920,Borussia Mönchengladbach,CAM,2,2,1947,46,12
Dener,1718,Portimonense,CAM,3,1,1790,14,20
E. Brignola,1718,Benevento,CAM,3,2,1354,24,20
Everton,2122,Benfica,CAM,3,5,1609,31,40
Gerson,1718,AS Roma,CAM,2,1,898,6,12
I. Sarr,1617,Metz,CAM,5,1,1941,53,24
J. Dilrosun,1819,Hertha BSC,CAM,2,3,891,9,12
João Amaral,1920,Pacos Ferreira,CAM,1,4,1106,13,27
João Camacho,2324,Moreirense,CAM,4,4,2104,34,22
K. Bellarabi,2122,Bayer Leverkusen,CAM,3,2,685,17,9
K. Boateng,1920,Beşiktaş,CAM,3,1,598,7,11
M. Balikwisha,2122,Antwerp,CAM,4,3,2043,27,36
M. Lopez,1819,Marseille,CAM,1,3,2186,13,49
Mateus,1819,Boavista,CAM,5,1,2014,54,19
N. Nández,2021,Cagliari,CAM,2,2,2741,37,32
R. Ghezzal,1617,Lyon,CAM,2,2,1284,37,22
R. Insigne,2021,Benevento,CAM,2,4,1601,19,40
R. Seuntjens,1819,VVV Venlo,CAM,2,6,2259,11,38
Roberto López,2021,Real Sociedad,CAM,3,NR,497,5,7
Ryan Mendes,1718,Kayserispor,CAM,4,3,2369,71,25
S. Becker,2021,Union Berlin,CAM,3,3,1114,15,18
S. Grandsir,1718,Estac Troyes,CAM,3,4,2606,68,33
S. Kalu,2021,Bordeaux,CAM,4,1,972,36,10
S. Kittel,1617,FC Ingolstadt 04,CAM,2,1,787,10,10
S. Limbombe,1718,Antwerp,CAM,6,NR,1414,NR,NR
Tabata,1819,Portimonense,CAM,3,4,2171,47,38
V. van Crooij,2021,VVV Venlo,CAM,3,6,2720,13,56
Víctor Rodríguez,1617,Sporting Gijon,CAM,2,1,1380,12,23
Witi,1819,Nacional,CAM,2,5,2035,36,38
Y. Aït Bennasser,1617,Nancy,CAM,3,1,1934,30,16
Y. Salibur,1718,Guingamp,CAM,3,3,1529,51,27
Z. Bytyqi,2021,Konyaspor,CAM,2,5,1007,11,37
A. Ait El Hadj,2021,Anderlecht,CAM,4,NR,1897,10,22
A. Bobichon,1920,Angers,CAM,2,1,653,5,7
A. Carrillo,1718,Watford,CAM,1,2,1536,59,20
A. Nordin,2425,Montpellier,CAM,4,1,1171,23,15
A. Saelemaekers,2021,AC Milan,CAM,2,4,2034,37,31
Ansu Fati,2021,Barcelona,CAM,4,NR,437,11,9
Bryan Jafet Ruiz González,1617,Sporting CP,CAM,2,5,2087,31,51
C. Larin,2122,Beşiktaş,CAM,5,1,1622,16,14
C. Nkunku,1819,Paris Saint Germain,CAM,3,2,1153,23,17
C. Nunnely,2122,Willem II,CAM,6,1,2459,53,24
D. Milošević,1819,Konyaspor,CAM,1,4,2438,36,31
D. Rice,2021,West Ham,CAM,2,1,2880,29,23
Deroy Duarte,1718,Sparta Rotterdam,CAM,3,1,1484,30,18
E. Kangwa,1617,Gaziantepspor,CAM,4,1,1086,16,16
Emre Güral,1718,Antalyaspor,CAM,5,NR,1244,15,24
G. Bayrakdar,2021,Antalyaspor,CAM,6,NR,1832,20,9
H. Evjen,2122,AZ Alkmaar,CAM,3,1,1226,17,12
J. Bamba,1617,Angers,CAM,3,2,834,13,14
J. Draxler,1617,Paris Saint Germain,CAM,4,1,1016,33,23
J. Kembo-Ekoko,1718,Bursaspor,CAM,4,2,1619,65,22
J. Lingard,1617,Manchester United,CAM,1,2,1367,21,29
Jason,1718,Levante,CAM,1,2,1793,25,26
K. Fujimoto,2122,GIL Vicente,CAM,3,2,2416,19,41
M. Meyer,1819,Crystal Palace,CAM,1,2,1410,13,22
Miguel Cardoso,2122,Kayserispor,CAM,4,2,1248,14,15
N. Madueke,2122,PSV Eindhoven,CAM,3,3,826,44,12
Pedro Nuno,1718,Tondela,CAM,2,2,1846,12,37
S. Gakpé,1718,Amiens,CAM,3,3,1836,19,18
Serginho,2223,Giresunspor,CAM,2,6,2356,36,34
Tabata,1718,Portimonense,CAM,2,4,1119,22,28
Thomas James Carroll,1617,Swansea,CAM,1,2,1390,12,17
Yan Matheus,2021,Moreirense,CAM,4,3,1572,34,27
A. Adli,2122,Bayer Leverkusen,CAM,3,2,1256,21,14
A. Hadžiahmetović,2021,Konyaspor,CAM,4,NR,2682,39,34
Alberto Bueno Calvo,1920,Boavista,CAM,3,3,1206,11,21
Amilton,1920,Antalyaspor,CAM,2,2,1981,45,25
António Xavier,1718,Pacos Ferreira,CAM,0,8,2636,41,48
B. Başaçıkoğlu,1718,Feyenoord,CAM,3,3,397,15,10
B. Samudio,1920,Rizespor,CAM,4,2,1780,33,27
C. Nkunku,1718,Paris Saint Germain,CAM,4,NR,621,13,4
Carles Aleñá,1819,Barcelona,CAM,2,NR,631,12,9
E. Skhiri,1920,1. FC Köln,CAM,1,3,2676,22,20
F. Valenzuela,2021,Famalicao,CAM,3,1,915,41,18
Hélder Ferreira,1920,Pacos Ferreira,CAM,3,4,2139,15,30
İ. Kahveci,2223,Fenerbahçe,CAM,4,2,1519,26,45
J. Karlsson,2526,Utrecht,CAM,4,1,688,8,14
Jaílton Paraíba,1718,Gençlerbirliği S.K.,CAM,4,1,1102,13,6
K. Dewsbury-Hall,2122,Leicester,CAM,1,2,2104,30,36
K. Kanatsızkuş,2021,Yeni Malatyaspor,CAM,5,1,1689,13,10
M. Coco,1617,Guingamp,CAM,4,2,2628,49,37
M. Cuisance,2021,Marseille,CAM,2,1,1020,13,9
M. Eggestein,1920,Werder Bremen,CAM,1,3,2856,23,36
M. Rosheuvel,1617,Roda,CAM,2,5,2359,45,42
Marco Asensio,1819,Real Madrid,CAM,1,4,1783,41,32
Miguel Cardoso,2324,Kayserispor,CAM,1,7,2523,27,66
P. Ciss,2122,Rayo Vallecano,CAM,2,1,1086,10,4
Rafinha,2021,Paris Saint Germain,CAM,0,4,1367,29,23
V. Misidjan,2122,Twente,CAM,3,3,1133,50,17
Y. Sarı,1920,Trabzonspor,CAM,3,2,701,17,16
A. Carrillo,1617,Benfica,CAM,2,1,519,12,10
A. Elanga,2122,Manchester United,CAM,2,2,1216,11,9
A. Lusamba,1920,Nice,CAM,1,2,983,19,18
A. Ounahi,2122,Angers,CAM,2,1,1624,26,18
A. Traoré,2122,Hatayspor,CAM,1,3,1302,22,25
A. Yarmolenko,1819,West Ham,CAM,2,NR,459,2,5
Alberto Perea,2021,Cadiz,CAM,2,3,1549,63,13
Alberto Soro,2021,Granada CF,CAM,1,2,384,2,6
Álex Berenguer,2223,Athletic Club,CAM,4,1,2305,37,52
Amilton,1819,Aves,CAM,2,1,1163,8,18
B. Başaçıkoğlu,1617,Feyenoord,CAM,0,6,783,26,30
B. Başaçıkoğlu,1920,Kayserispor,CAM,0,6,555,10,16
C. Ninga,1920,Angers,CAM,3,1,677,10,12
Costinha,1718,Vitoria Setubal,CAM,2,2,2742,22,23
Dani Ceballos,1718,Real Madrid,CAM,2,NR,396,11,4
Darren Maatsen,1617,GO Ahead Eagles,CAM,4,1,1390,53,21
F. Borini,2122,Fatih Karagümrük,CAM,3,3,1471,11,19
Ivo Rodrigues,2122,Famalicao,CAM,1,4,1963,39,44
J. Schuurman,1617,Willem II,CAM,3,NR,520,0,4
Javi Puado,2122,Espanyol,CAM,4,1,2257,30,21
Ji Dong-Won,1617,FC Augsburg,CAM,3,2,2291,30,27
K. Miyoshi,2122,Antwerp,CAM,1,3,1363,9,34
Kike Barja,2021,Osasuna,CAM,2,3,1431,54,16
L. Gueye,2021,Metz,CAM,3,2,1465,15,19
L. Paredes,2122,Paris Saint Germain,CAM,1,2,840,6,7
M. Breij,2122,Cambuur,CAM,2,2,1394,17,16
M. Fofana,1718,Konyaspor,CAM,3,3,2047,67,23
M. Lestienne,1819,Standard Liege,CAM,5,NR,1536,NR,NR
M. Niang,1617,Watford,CAM,2,2,1254,31,9
N. Mbuku,2021,Reims,CAM,4,1,2230,43,25
O. Çağlayan,2021,Galatasaray,CAM,4,1,845,12,14
R. Nelson,2122,Feyenoord,CAM,2,4,908,28,22
Rodri,2122,Real Betis,CAM,1,2,880,16,17
S. Adamyan,2021,1899 Hoffenheim,CAM,2,3,468,3,12
