player_name,season,club,current_pool,goals,assists,minutes,dribbles_success,passes_key
H. Barnes,1920,Leicester,CAM,6,8,2091,43,35
I. Saibari,2425,PSV Eindhoven,CAM,11,11,1786,30,41
J. Lingard,1718,Manchester United,CAM,8,5,1821,28,26
J. Rodríguez,1516,Real Madrid,CAM,7,8,1515,19,62
J. Rodríguez,1415,Real Madrid,CAM,13,NR,2290,NR,NR
J. Rodríguez,1718,Bayern München,CAM,7,11,1625,20,65
M. Hamšík,1516,Napoli,CAM,6,11,3245,38,98
Philippe Coutinho,1516,Liverpool,CAM,8,5,2005,49,52
Philippe Coutinho,1718,Barcelona,CAM,8,5,1304,46,29
R. Cherki,2425,Lyon,CAM,8,11,2054,48,75
S. Milinković-Savić,2021,Lazio,CAM,8,9,2754,30,43
T. Bongonda,2021,Genk,CAM,16,8,2908,57,58
X. Simons,2324,RB Leipzig,CAM,8,11,2675,81,79
A. Ljajić,1819,Beşiktaş,CAM,9,11,2229,29,69
Bernardo Silva,2122,Manchester City,CAM,8,4,2861,53,60
Bernardo Silva,1920,Manchester City,CAM,6,7,2029,40,53
Bruno Fernandes,1718,Sporting CP,CAM,11,8,2806,43,76
C. Palmer,2526,Chelsea,CAM,10,1,1978,22,25
D. Alli,1920,Tottenham,CAM,8,4,1853,29,23
D. Szoboszlai,2526,Liverpool,CAM,6,7,3244,26,78
Dani Olmo,2526,Barcelona,CAM,7,8,2077,16,49
F. Honorat,2122,Stade Brestois 29,CAM,11,4,2911,37,59
H. Mkhitaryan,1920,AS Roma,CAM,9,5,1534,21,27
H. Vanaken,2122,Club Brugge KV,CAM,11,9,3286,25,61
J. Bellingham,2425,Real Madrid,CAM,9,8,2493,40,42
J. Brandt,2324,Borussia Dortmund,CAM,7,11,2230,27,82
J. Brandt,2223,Borussia Dortmund,CAM,9,8,2410,41,74
J. Brandt,2122,Borussia Dortmund,CAM,9,8,2082,38,45
J. Ito,2021,Genk,CAM,11,14,3232,53,74
J. Maddison,2324,Tottenham,CAM,4,9,2154,32,68
J. Rodríguez,1617,Real Madrid,CAM,8,6,1179,13,45
